first_year,last_year,first_value,last_value,variation_%
2017,2021,286,392,37.06293706293706
2017,2021,32,53,65.625
2017,2021,52,59,13.461538461538462
2017,2021,525,708,34.85714285714286
2017,2021,21,24,14.285714285714285
2017,2021,134,223,66.4179104477612
2017,2021,99,109,10.1010101010101
2017,2021,49,75,53.06122448979592
2017,2021,17,13,-23.52941176470588
2017,2021,14,13,-7.142857142857142
2017,2021,13,36,176.9230769230769
2017,2021,352,434,23.295454545454543
2017,2021,153,189,23.52941176470588
2017,2021,132,135,2.272727272727273
2017,2021,131,184,40.458015267175576
2017,2021,29,30,3.4482758620689653
2017,2021,47,62,31.914893617021278
2017,2021,226,327,44.690265486725664
2017,2021,52,67,28.846153846153843
2017,2021,186,256,37.634408602150536
2017,2021,21,32,52.38095238095239
2017,2021,142,206,45.07042253521127
2017,2021,886,1064,20.090293453724605
2017,2021,38,38,0.0
2017,2021,138,169,22.463768115942027
2017,2021,1129,1443,27.812223206377322
2017,2021,95,107,12.631578947368421
2017,2021,70,74,5.714285714285714
2017,2021,134,178,32.83582089552239
2017,2021,50,86,72.0
2017,2021,10,15,50.0
