first_year,last_year,first_value,last_value,variation_%
2017,2021,243,230,-5.349794238683128
2017,2021,54,51,-5.555555555555555
2017,2021,70,70,0.0
2017,2021,514,447,-13.03501945525292
2017,2021,54,49,-9.25925925925926
2017,2021,186,158,-15.053763440860216
2017,2021,112,84,-25.0
2017,2021,69,55,-20.28985507246377
2017,2021,28,27,-3.571428571428571
2017,2021,28,24,-14.285714285714285
2017,2021,40,60,50.0
2017,2021,298,241,-19.12751677852349
2017,2021,163,127,-22.085889570552148
2017,2021,171,153,-10.526315789473683
2017,2021,225,214,-4.888888888888889
2017,2021,47,49,4.25531914893617
2017,2021,70,47,-32.857142857142854
2017,2021,332,340,2.4096385542168677
2017,2021,70,70,0.0
2017,2021,300,255,-15.0
2017,2021,52,52,0.0
2017,2021,382,364,-4.712041884816754
2017,2021,1230,1073,-12.764227642276424
2017,2021,45,42,-6.666666666666667
2017,2021,94,101,7.446808510638298
2017,2021,1975,1854,-6.1265822784810124
2017,2021,96,93,-3.125
2017,2021,71,66,-7.042253521126761
2017,2021,189,172,-8.994708994708994
2017,2021,81,82,1.2345679012345678
2017,2021,22,16,-27.27272727272727
