first_year,last_year,first_value,last_value,variation_%
2017,2021,1108,3195,188.35740072202165
2017,2021,191,502,162.82722513089004
2017,2021,121,352,190.9090909090909
2017,2021,1980,4884,146.66666666666666
2017,2021,47,150,219.14893617021275
2017,2021,562,1959,248.57651245551602
2017,2021,680,2021,197.2058823529412
2017,2021,176,539,206.25
2017,2021,106,81,-23.58490566037736
2017,2021,36,53,47.22222222222222
2017,2021,64,119,85.9375
2017,2021,1245,3399,173.0120481927711
2017,2021,489,1323,170.5521472392638
2017,2021,471,1092,131.84713375796179
2017,2021,488,1555,218.64754098360658
2017,2021,105,333,217.14285714285714
2017,2021,238,726,205.04201680672267
2017,2021,1299,2774,113.54888375673595
2017,2021,352,1017,188.92045454545453
2017,2021,872,2581,195.9862385321101
2017,2021,56,150,167.85714285714286
2017,2021,448,869,93.97321428571429
2017,2021,4457,10150,127.73165806596364
2017,2021,152,501,229.60526315789474
2017,2021,502,1001,99.40239043824701
2017,2021,5001,13963,179.20415916816637
2017,2021,521,1302,149.90403071017275
2017,2021,208,491,136.05769230769232
2017,2021,525,1495,184.76190476190476
2017,2021,222,793,257.2072072072072
2017,2021,29,78,168.9655172413793
