first_year,last_year,first_value,last_value,variation_%
2017,2021,3515,11705,233.0014224751067
2017,2021,1471,3698,151.393609789259
2017,2021,290,718,147.58620689655174
2017,2021,4938,16457,233.27257999189953
2017,2021,123,348,182.9268292682927
2017,2021,1231,4055,229.40698619008936
2017,2021,1898,4410,132.34984193888303
2017,2021,298,916,207.38255033557044
2017,2021,85,235,176.47058823529412
2017,2021,122,266,118.0327868852459
2017,2021,135,408,202.22222222222223
2017,2021,1970,5704,189.5431472081218
2017,2021,775,2549,228.90322580645162
2017,2021,1992,3307,66.0140562248996
2017,2021,1714,5394,214.7024504084014
2017,2021,264,725,174.62121212121212
2017,2021,275,913,231.99999999999997
2017,2021,3142,9166,191.72501591343095
2017,2021,336,1075,219.94047619047618
2017,2021,1555,4496,189.13183279742765
2017,2021,133,388,191.7293233082707
2017,2021,1846,6168,234.12784398699893
2017,2021,12099,37031,206.06661707579138
2017,2021,158,435,175.31645569620252
2017,2021,2036,5551,172.64243614931237
2017,2021,22873,63884,179.29873650155207
2017,2021,911,2688,195.06037321624586
2017,2021,420,1477,251.66666666666666
2017,2021,1099,3309,201.0919017288444
2017,2021,414,1303,214.73429951690824
2017,2021,82,254,209.7560975609756
