first_year,last_year,first_value,last_value,variation_%
2017,2021,16620,42565,156.10709987966305
2017,2021,399,306,-23.308270676691727
2017,2021,253,685,170.75098814229247
2017,2021,10512,34339,226.66476407914766
2017,2021,294,788,168.02721088435376
2017,2021,964,3301,242.42738589211618
2017,2021,426,1207,183.33333333333331
2017,2021,329,826,151.06382978723406
2017,2021,83,241,190.36144578313252
2017,2021,78,223,185.8974358974359
2017,2021,312,846,171.15384615384613
2017,2021,1639,4665,184.62477120195243
2017,2021,2480,6294,153.79032258064515
2017,2021,313,994,217.5718849840256
2017,2021,458,1285,180.56768558951967
2017,2021,90,234,160.0
2017,2021,337,1022,203.26409495548964
2017,2021,1073,3269,204.65983224603917
2017,2021,192,524,172.91666666666669
2017,2021,701,2516,258.9158345221113
2017,2021,98,327,233.6734693877551
2017,2021,4863,16745,244.3347727740078
2017,2021,4295,12046,180.46565774155997
2017,2021,113,298,163.71681415929206
2017,2021,1736,5821,235.3110599078341
2017,2021,6655,20359,205.92036063110442
2017,2021,623,2016,223.59550561797752
2017,2021,1552,5118,229.76804123711338
2017,2021,641,1486,131.82527301092045
2017,2021,229,748,226.63755458515286
2017,2021,117,290,147.86324786324786
