first_year,last_year,first_value,last_value,variation_%
2017,2021,28171,76007,169.8058286890774
2017,2021,2622,6025,129.7864225781846
2017,2021,1085,2575,137.32718894009219
2017,2021,24792,80963,226.56905453372053
2017,2021,826,2249,172.2760290556901
2017,2021,5747,17137,198.19036018792414
2017,2021,5271,12909,144.90608992601025
2017,2021,1521,4170,174.16173570019723
2017,2021,333,879,163.96396396396395
2017,2021,344,912,165.11627906976744
2017,2021,832,2306,177.16346153846155
2017,2021,10155,28634,181.96947316592812
2017,2021,4883,13179,169.8955560106492
2017,2021,4424,9522,115.23508137432188
2017,2021,3833,11441,198.48682494129923
2017,2021,864,2110,144.21296296296296
2017,2021,1479,4049,173.7660581473969
2017,2021,9314,25296,171.5911531028559
2017,2021,1264,3555,181.25
2017,2021,5463,16022,193.2820794435292
2017,2021,552,1681,204.52898550724638
2017,2021,11765,37918,222.29494262643433
2017,2021,56911,147443,159.07645270685808
2017,2021,633,1748,176.14533965244865
2017,2021,6878,19391,181.92788601337597
2017,2021,121939,320236,162.61983450741764
2017,2021,3033,8729,187.800857237059
2017,2021,3004,9702,222.9693741677763
2017,2021,4845,11771,142.9514963880289
2017,2021,1776,5171,191.1599099099099
2017,2021,386,1010,161.6580310880829
