first_year,last_year,first_value,last_value,variation_%
2017,2021,30040,81115,170.02330226364847
2017,2021,3460,8785,153.90173410404623
2017,2021,1989,5050,153.8964303670186
2017,2021,28526,90804,218.32012900511813
2017,2021,1245,3566,186.42570281124497
2017,2021,6805,23574,246.42174871418075
2017,2021,7135,18644,161.30343377715488
2017,2021,1826,5098,179.1894852135816
2017,2021,546,1222,123.80952380952381
2017,2021,444,1134,155.4054054054054
2017,2021,1104,3033,174.72826086956522
2017,2021,12975,36035,177.72639691714835
2017,2021,6964,17796,155.54279149913845
2017,2021,5667,12610,122.51632256926064
2017,2021,5071,15278,201.28179846184184
2017,2021,1135,2983,162.8193832599119
2017,2021,1859,5160,177.56858526089297
2017,2021,11745,31119,164.9553001277139
2017,2021,1744,4908,181.42201834862385
2017,2021,7191,20854,190.00139062717284
2017,2021,1027,3074,199.3184031158715
2017,2021,12589,39903,216.96719358169833
2017,2021,65174,167999,157.76996961978705
2017,2021,955,2685,181.15183246073298
2017,2021,7898,22112,179.9696125601418
2017,2021,132925,350518,163.69606921196163
2017,2021,3753,10588,182.12096989075405
2017,2021,3419,10730,213.83445451886516
2017,2021,6072,15313,152.19038208168644
2017,2021,2410,6997,190.33195020746888
2017,2021,461,1230,166.8112798264642
