first_year,last_year,first_value,last_value,variation_%
2017,2021,22892,21042,-8.081425825615936
2017,2021,218,165,-24.31192660550459
2017,2021,1276,1071,-16.065830721003135
2017,2021,31395,29030,-7.533046663481446
2017,2021,276,200,-27.536231884057973
2017,2021,2036,1703,-16.355599214145382
2017,2021,1057,957,-9.46073793755913
2017,2021,520,552,6.153846153846154
2017,2021,221,103,-53.39366515837104
2017,2021,195,92,-52.820512820512825
2017,2021,286,184,-35.66433566433567
2017,2021,12453,10116,-18.766562274150807
2017,2021,4928,4157,-15.645292207792208
2017,2021,1408,778,-44.74431818181818
2017,2021,1630,1149,-29.509202453987733
2017,2021,258,161,-37.5968992248062
2017,2021,508,395,-22.244094488188974
2017,2021,1798,1333,-25.862068965517242
2017,2021,383,248,-35.24804177545692
2017,2021,1812,1467,-19.039735099337747
2017,2021,373,425,13.941018766756033
2017,2021,5182,4568,-11.848707062910073
2017,2021,9437,7639,-19.052665041856525
2017,2021,151,100,-33.77483443708609
2017,2021,8018,6170,-23.04814168121726
2017,2021,14243,10071,-29.291581829670715
2017,2021,1348,1074,-20.326409495548962
2017,2021,4301,4225,-1.7670309230411532
2017,2021,918,809,-11.87363834422658
2017,2021,300,218,-27.333333333333332
2017,2021,281,152,-45.90747330960854
