first_year,last_year,first_value,last_value,variation_%
2017,2021,39.5,37.9,-4.050632911392409
2017,2021,43.8,42.7,-2.5114155251141423
2017,2021,43.5,43.1,-0.9195402298850541
2017,2021,40.5,38.7,-4.4444444444444375
2017,2021,47.2,45.7,-3.1779661016949152
2017,2021,42.3,40.6,-4.018912529550818
2017,2021,42.4,40.4,-4.716981132075472
2017,2021,43.1,41.7,-3.2482598607888593
2017,2021,44.0,43.6,-0.909090909090906
2017,2021,47.3,46.9,-0.8456659619450289
2017,2021,47.3,46.5,-1.6913319238900577
2017,2021,39.0,37.6,-3.589743589743586
2017,2021,41.2,40.2,-2.4271844660194173
2017,2021,42.8,41.9,-2.102803738317754
2017,2021,44.6,43.7,-2.0179372197309386
2017,2021,45.1,43.4,-3.7694013303769465
2017,2021,41.9,40.4,-3.579952267303103
2017,2021,42.6,41.2,-3.2863849765258184
2017,2021,42.9,41.5,-3.2634032634032604
2017,2021,43.1,41.5,-3.712296983758704
2017,2021,47.3,46.3,-2.1141649048625792
2017,2021,47.4,45.8,-3.3755274261603407
2017,2021,42.9,41.5,-3.2634032634032604
2017,2021,44.7,43.1,-3.579418344519018
2017,2021,39.1,37.5,-4.092071611253201
2017,2021,44.2,43.0,-2.714932126696839
2017,2021,42.2,40.5,-4.028436018957352
2017,2021,43.0,43.7,1.6279069767441927
2017,2021,42.7,41.3,-3.2786885245901773
2017,2021,43.2,41.8,-3.240740740740754
2017,2021,46.0,45.4,-1.3043478260869596
