first_year,last_year,first_value,last_value,variation_%
2017,2021,1586,-627,-139.53341740226986
2017,2021,40,51,27.500000000000004
2017,2021,173,340,96.53179190751445
2017,2021,1894,2676,41.2882787750792
2017,2021,24,13,-45.83333333333333
2017,2021,194,493,154.1237113402062
2017,2021,170,1,-99.41176470588235
2017,2021,28,52,85.71428571428571
2017,2021,17,45,164.70588235294116
2017,2021,22,58,163.63636363636365
2017,2021,60,11,-81.66666666666667
2017,2021,743,1914,157.60430686406463
2017,2021,-297,715,-340.74074074074076
2017,2021,61,504,726.2295081967213
2017,2021,177,290,63.84180790960452
2017,2021,21,13,-38.095238095238095
2017,2021,-28,94,-435.71428571428567
2017,2021,321,320,-0.3115264797507788
2017,2021,17,43,152.94117647058823
2017,2021,152,168,10.526315789473683
2017,2021,62,-25,-140.3225806451613
2017,2021,608,831,36.67763157894737
2017,2021,759,1996,162.97760210803688
2017,2021,17,3,-82.35294117647058
2017,2021,399,1188,197.74436090225564
2017,2021,1043,2014,93.09683604985618
2017,2021,140,273,95.0
2017,2021,530,683,28.867924528301884
2017,2021,97,157,61.855670103092784
2017,2021,41,97,136.58536585365854
2017,2021,17,-30,-276.4705882352941
