first_year,last_year,first_value,last_value,variation_%
2017,2021,131,120,-8.396946564885496
2017,2021,16,19,18.75
2017,2021,17,18,5.88235294117647
2017,2021,202,176,-12.871287128712872
2017,2021,5,5,0.0
2017,2021,65,59,-9.230769230769232
2017,2021,55,53,-3.6363636363636362
2017,2021,24,28,16.666666666666664
2017,2021,6,4,-33.33333333333333
2017,2021,5,3,-40.0
2017,2021,9,5,-44.44444444444444
2017,2021,152,122,-19.736842105263158
2017,2021,47,43,-8.51063829787234
2017,2021,60,41,-31.666666666666664
2017,2021,72,65,-9.722222222222223
2017,2021,18,16,-11.11111111111111
2017,2021,30,28,-6.666666666666667
2017,2021,153,120,-21.568627450980394
2017,2021,34,33,-2.941176470588235
2017,2021,101,97,-3.9603960396039604
2017,2021,7,10,42.857142857142854
2017,2021,59,49,-16.94915254237288
2017,2021,403,352,-12.655086848635236
2017,2021,12,13,8.333333333333332
2017,2021,67,54,-19.402985074626866
2017,2021,490,441,-10.0
2017,2021,66,59,-10.606060606060606
2017,2021,31,24,-22.58064516129032
2017,2021,64,62,-3.125
2017,2021,31,33,6.451612903225806
2017,2021,5,6,20.0
