first_year,last_year,first_value,last_value,variation_%
2017,2021,55,70,27.27272727272727
2017,2021,8,8,0.0
2017,2021,7,5,-28.57142857142857
2017,2021,67,77,14.925373134328357
2017,2021,2,1,-50.0
2017,2021,14,11,-21.428571428571427
2017,2021,21,14,-33.33333333333333
2017,2021,4,3,-25.0
2017,2021,2,2,0.0
2017,2021,1,1,0.0
2017,2021,2,2,0.0
2017,2021,25,33,32.0
2017,2021,8,8,0.0
2017,2021,12,9,-25.0
2017,2021,11,7,-36.36363636363637
2017,2021,2,0,-100.0
2017,2021,3,4,33.33333333333333
2017,2021,24,22,-8.333333333333332
2017,2021,5,3,-40.0
2017,2021,20,24,20.0
2017,2021,2,3,50.0
2017,2021,30,37,23.333333333333332
2017,2021,121,106,-12.396694214876034
2017,2021,2,0,-100.0
2017,2021,21,26,23.809523809523807
2017,2021,159,165,3.7735849056603774
2017,2021,9,8,-11.11111111111111
2017,2021,8,10,25.0
2017,2021,13,16,23.076923076923077
2017,2021,5,5,0.0
2017,2021,1,2,100.0
