first_year,last_year,first_value,last_value,variation_%
2017,2021,543,571,5.156537753222836
2017,2021,19,17,-10.526315789473683
2017,2021,41,31,-24.390243902439025
2017,2021,754,827,9.681697612732096
2017,2021,29,34,17.24137931034483
2017,2021,101,108,6.9306930693069315
2017,2021,58,57,-1.7241379310344827
2017,2021,50,49,-2.0
2017,2021,13,16,23.076923076923077
2017,2021,11,11,0.0
2017,2021,47,49,4.25531914893617
2017,2021,195,201,3.076923076923077
2017,2021,105,112,6.666666666666667
2017,2021,55,66,20.0
2017,2021,64,67,4.6875
2017,2021,12,11,-8.333333333333332
2017,2021,57,55,-3.508771929824561
2017,2021,148,148,0.0
2017,2021,28,32,14.285714285714285
2017,2021,103,109,5.825242718446602
2017,2021,15,14,-6.666666666666667
2017,2021,305,346,13.442622950819672
2017,2021,549,584,6.375227686703097
2017,2021,18,19,5.555555555555555
2017,2021,129,139,7.751937984496124
2017,2021,752,761,1.196808510638298
2017,2021,91,96,5.4945054945054945
2017,2021,121,130,7.43801652892562
2017,2021,74,74,0.0
2017,2021,34,43,26.47058823529412
2017,2021,14,17,21.428571428571427
