first_year,last_year,first_value,last_value,variation_%
2017,2021,48733,46833,-3.898795477397246
2017,2021,5604,5531,-1.3026409707351891
2017,2021,8234,7594,-7.772649987855234
2017,2021,82563,78930,-4.400276152756078
2017,2021,4766,4797,0.6504406210658833
2017,2021,28463,27149,-4.61651969223202
2017,2021,17590,17312,-1.580443433769187
2017,2021,8918,8873,-0.5045974433729535
2017,2021,2829,2650,-6.327324142806646
2017,2021,2807,2743,-2.2800142500890628
2017,2021,4895,4827,-1.3891726251276815
2017,2021,51850,46816,-9.70877531340405
2017,2021,21827,20537,-5.910111330004123
2017,2021,21000,19273,-8.223809523809523
2017,2021,23310,22558,-3.226083226083226
2017,2021,5553,5426,-2.2870520439402124
2017,2021,9114,8854,-2.8527540048277378
2017,2021,42219,41500,-1.7030247045169238
2017,2021,9161,8969,-2.095841065385875
2017,2021,36824,36218,-1.6456658700847275
2017,2021,4692,4848,3.324808184143223
2017,2021,30179,30036,-0.47383942476556545
2017,2021,158010,153655,-2.7561546737548257
2017,2021,4854,4828,-0.5356407086938607
2017,2021,21872,18887,-13.647585954645209
2017,2021,208563,203692,-2.335505338914381
2017,2021,14987,14189,-5.324614666043905
2017,2021,11115,10576,-4.849302744039586
2017,2021,24346,23812,-2.19337878912347
2017,2021,11326,11108,-1.9247748543174996
2017,2021,1789,1615,-9.726103968697597
