first_year,last_year,first_value,last_value,variation_%
2017,2021,14.9,11.5,-22.81879194630873
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.9,10.2,3.030303030303019
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.1,6.2,-31.868131868131865
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,8.3,6.6,-20.481927710843383
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,8.3,6.8,-18.072289156626514
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,6.9,4.9,-28.985507246376812
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,6.6,5.4,-18.181818181818173
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,10.7,8.8,-17.75700934579438
2017,2021,7.6,5.6,-26.31578947368421
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,8.7,7.5,-13.793103448275856
2017,2021,8.4,6.5,-22.61904761904762
2017,2021,6.5,6.2,-4.615384615384613
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,7.4,5.5,-25.67567567567568
2017,2021,9.0,6.6,-26.66666666666667
2017,2021,9.0,6.6,-26.66666666666667
