first_year,last_year,first_value,last_value,variation_%
2017,2021,13620,27114,99.0748898678414
2017,2021,1681,5225,210.82688875669245
2017,2021,2503,5487,119.21693967239312
2017,2021,30306,66088,118.06902923513496
2017,2021,1574,4799,204.89199491740786
2017,2021,7680,21532,180.36458333333334
2017,2021,4359,14135,224.27162193163568
2017,2021,2823,8838,213.0712008501594
2017,2021,1101,2670,142.5068119891008
2017,2021,842,2362,180.52256532066508
2017,2021,1658,4776,188.05790108564534
2017,2021,18512,41402,123.64952463267069
2017,2021,6989,16108,130.4764630133066
2017,2021,7263,21116,190.73385653311303
2017,2021,8994,25235,180.5759395152324
2017,2021,1745,5483,214.21203438395415
2017,2021,3300,9851,198.5151515151515
2017,2021,14306,42927,200.0629106668531
2017,2021,3411,10286,201.5537965406039
2017,2021,13708,39722,189.77239568135394
2017,2021,1692,4416,160.99290780141843
2017,2021,10621,30749,189.51134544769798
2017,2021,54150,155240,186.68513388734996
2017,2021,1616,5119,216.76980198019803
2017,2021,5509,11757,113.41441277908876
2017,2021,71979,212628,195.40282582419871
2017,2021,5348,15451,188.91174270755423
2017,2021,2781,5753,106.86803308162531
2017,2021,8522,27258,219.85449425017603
2017,2021,3082,9874,220.37637897469176
2017,2021,509,1172,130.25540275049116
