munic_cp,munic_name,year,population_total,births,deaths,foreigns,migrations,mean_age,number_realestate,number_hostelry,number_entertainment,number_building,sale_price_m2,rent_price_m2,employment_total,employment_building,employment_commerce,employment_hostelry,employment_services,unemployment_total,income_per_household,income_per_person,number_crimes,open_establishments,tourism_spending
38001,Adeje,2021-01-01,48733,286,243,22892,1586,39.5,96,543,55,131,3012.0,14.9,30040,1108,3515,16620,28171,13620,29778.0,10913.0,2881,57,1178.72
38001,Adeje,2020-01-01,49030,279,199,23079,934,38.7,94,526,54,126,3655.0,13.6,102880,4341,13570,53577,95741,57064,27677.0,10042.0,3139,49,1166.32
38001,Adeje,2019-01-01,47869,343,240,22048,2300,38.4,115,576,62,132,3656.0,12.9,116777,4253,15805,62398,109700,36018,31889.0,11419.0,4923,100,1115.86
38001,Adeje,2018-01-01,47280,360,236,21506,1451,38.2,120,579,73,127,3656.0,12.4,113077,4420,15753,59060,105867,34776,29781.0,10785.0,5075,99,1188.34
38001,Adeje,2017-01-01,46833,392,230,21042,-627,37.9,123,571,70,120,3656.0,11.5,81115,3195,11705,42565,76007,27114,28089.0,10309.0,5781,105,968.0
38004,Arafo,2021-01-01,5604,32,54,218,40,43.8,4,19,8,16,2372.0,9.0,3460,191,1471,399,2622,1681,37191.0,13598.0,3269,33,968.0
38004,Arafo,2020-01-01,5593,31,48,225,17,43.6,3,17,7,15,1821.0,9.1,12812,684,5475,1171,9512,7161,35795.0,13013.0,3269,33,968.0
38004,Arafo,2019-01-01,5551,25,43,193,42,43.2,3,17,9,21,1986.0,8.6,13951,815,6020,1202,10386,6431,35810.0,12783.0,3269,33,968.0
38004,Arafo,2018-01-01,5562,36,46,185,13,42.7,3,19,10,21,1631.0,7.7,13371,844,5535,946,9555,6416,33942.0,12116.0,3269,33,968.0
38004,Arafo,2017-01-01,5531,53,51,165,51,42.7,2,17,8,19,1658.0,6.6,8785,502,3698,306,6025,5225,31909.0,11285.0,3269,33,968.0
38005,Arico,2021-01-01,8234,52,70,1276,173,43.5,3,41,7,17,1571.0,9.0,1989,121,290,253,1085,2503,27966.0,11663.0,3269,33,968.0
38005,Arico,2020-01-01,8111,60,78,1361,103,43.2,3,34,7,14,1571.0,9.1,7155,414,1042,855,3678,10020,27167.0,11243.0,3269,33,968.0
38005,Arico,2019-01-01,7988,51,72,1311,176,43.0,3,36,9,16,1571.0,8.6,7466,477,1057,964,3846,7725,28011.0,11491.0,3269,33,968.0
38005,Arico,2018-01-01,7831,56,73,1225,312,43.0,2,33,7,17,1571.0,7.7,7203,433,1058,951,3714,7113,26830.0,11005.0,3269,33,968.0
38005,Arico,2017-01-01,7594,59,70,1071,340,43.1,2,31,5,18,1571.0,6.6,5050,352,718,685,2575,5487,25628.0,10485.0,3269,33,968.0
38006,Arona,2021-01-01,82563,525,514,31395,1894,40.5,118,754,67,202,2271.0,9.9,28526,1980,4938,10512,24792,30306,26783.0,10114.0,3643,48,1009.56
38006,Arona,2020-01-01,82777,591,455,31923,1534,39.9,119,739,68,186,2444.0,11.3,108507,7409,19124,40601,94428,126942,25379.0,9434.0,3748,45,1016.86
38006,Arona,2019-01-01,81216,622,418,30981,3513,39.2,136,832,85,201,2348.0,11.6,126772,8321,21915,48099,111394,86508,28091.0,10330.0,4832,103,975.79
38006,Arona,2018-01-01,79448,651,436,29560,3111,38.9,139,831,80,196,2025.0,10.8,125638,7340,22049,47546,111443,85160,26364.0,9718.0,5028,104,1044.23
38006,Arona,2017-01-01,78930,708,447,29030,2676,38.7,136,827,77,176,1806.0,10.2,90804,4884,16457,34339,80963,66088,24853.0,9246.0,5589,112,968.0
38010,Buenavista del Norte,2021-01-01,4766,21,54,276,24,47.2,1,29,2,5,2372.0,9.0,1245,47,123,294,826,1574,28971.0,10609.0,3269,33,968.0
38010,Buenavista del Norte,2020-01-01,4786,21,55,272,-17,46.8,0,32,2,4,1821.0,9.1,4776,163,494,1058,3185,6635,27734.0,10075.0,3269,33,968.0
