nombre,actividad_tipo,municipio_codigo,municipio_nombre,longitud,latitud,year
Óptica Melián,optica ortopedia audicion,38019,Guía de Isora,-16.82765774,28.20194606,2023-01-01
Óptica Melián,optica ortopedia audicion,38019,Guía de Isora,-16.82765774,28.20194606,2019-01-01
Óptica Melián,optica ortopedia audicion,38019,Guía de Isora,-16.82765774,28.20194606,2020-01-01
Óptica Melián,optica ortopedia audicion,38019,Guía de Isora,-16.82765774,28.20194606,2021-01-01
Óptica Melián,optica ortopedia audicion,38019,Guía de Isora,-16.82765774,28.20194606,2022-01-01
Ñandu Rugby Club,actividades deporte ocio,38001,Adeje,-16.73028748,28.12053939,2018-01-01
Ñam-Ñam,cafeteria,38001,Adeje,-16.7322328,28.11747751,2017-01-01
Ñaco,comercio otro tipo,38038,Santa Cruz de Tenerife,-16.25374109,28.46885372,2016-01-01
Ñaco,comercio otro tipo,38038,Santa Cruz de Tenerife,-16.25374109,28.46885372,2020-01-01
Ñaco,comercio otro tipo,38038,Santa Cruz de Tenerife,-16.25374109,28.46885372,2021-01-01
Ñaco,comercio otro tipo,38038,Santa Cruz de Tenerife,-16.25374109,28.46885372,2022-01-01
Ñaco,comercio otro tipo,38038,Santa Cruz de Tenerife,-16.25374109,28.46885372,2018-01-01
Ñaco,comercio otro tipo,38038,Santa Cruz de Tenerife,-16.25374109,28.46885372,2017-01-01
Ñaco,comercio otro tipo,38038,Santa Cruz de Tenerife,-16.25374109,28.46885372,2019-01-01
¿Hoy Que Hay?,cafeteria,38026,La Orotava,-16.52697617,28.39332622,2017-01-01
¡¡¡Ñoo Que Rico!!!,tasca,38011,Candelaria,-16.36841411,28.35915748,2017-01-01
¡¡¡Ñoo Que Rico!!!,tasca,38011,Candelaria,-16.36841411,28.35915748,2018-01-01
vivienda vacacional,vivienda vacacional,38010,Buenavista del Norte,-16.8479969,28.3676623,2023-01-01
tenoria,restaurante,38038,Santa Cruz de Tenerife,-16.19859225,28.51558057,2016-01-01
caffe 42,bar cafeteria,38017,Granadilla de Abona,-16.55805931,28.079932,2016-01-01
cafeteria Centro Municipal De Mayores San Agustin,bar cafeteria,38026,La Orotava,-16.52342161,28.39008581,2016-01-01
Zytech,informatica telecomunicaciones,38028,Puerto de la Cruz,-16.55152804,28.41522802,2022-01-01
Zurna Doner Kebab,bar cafeteria,38023,La Laguna,-16.31438833,28.48290887,2016-01-01
Zurelectrica,electricidad electronica,38023,La Laguna,-16.30056538,28.45730256,2017-01-01
Zumos Naturales,bar,38006,Arona,-16.65427967,28.00739912,2016-01-01
Zumimanga,cafeteria,38011,Candelaria,-16.36649808,28.36451887,2016-01-01
Zumeria Zahara Cafel,bar cafeteria,38023,La Laguna,-16.34473457,28.55368619,2016-01-01
Zumeria Tropicana,bar cafeteria zumeria,38038,Santa Cruz de Tenerife,-16.26014233,28.46938083,2016-01-01
Zumeria Tamboril,bar cafeteria zumeria,38017,Granadilla de Abona,-16.540998,28.04298589,2016-01-01
Zumeria Tamarindo,bar cafeteria zumeria,38023,La Laguna,-16.3143182,28.48585097,2017-01-01
Zumeria Tamarindo,bar cafeteria zumeria,38023,La Laguna,-16.3143182,28.48585097,2016-01-01
Zumeria Tamarindo,bar cafeteria zumeria,38023,La Laguna,-16.3143182,28.48585097,2019-01-01
Zumeria Tamarindo,bar cafeteria zumeria,38023,La Laguna,-16.3143182,28.48585097,2018-01-01
Zumeria Salina Press,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.549195,28.41800129,2020-01-01
Zumeria Salina Press,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.549195,28.41800129,2019-01-01
Zumeria Salina Press,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.549195,28.41800129,2018-01-01
Zumeria Salina Press,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.549195,28.41800129,2017-01-01
Zumeria Salina Press,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.549195,28.41800129,2016-01-01
Zumeria Salina Press,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.549195,28.41800129,2021-01-01
Zumeria Salina Press,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.549195,28.41800129,2022-01-01
Zumeria Raul,bar cafeteria,38040,Santiago del Teide,-16.8183676,28.26773873,2017-01-01
Zumeria Paraiso Perritomania,bar cafeteria hamburgueseria,38032,El Rosario,-16.32554398,28.40667564,2016-01-01
Zumeria Noelia,bar cafeteria zumeria,38038,Santa Cruz de Tenerife,-16.271114,28.46128999,2016-01-01
