munic_cp,munic_name
38052,Vilaflor
38046,Tegueste
38043,Tacoronte
38040,Santiago del Teide
38039,Santa Úrsula
38038,Santa Cruz de Tenerife
38035,San Miguel
38034,San Juan de la Rambla
38028,Puerto de la Cruz
38042,Los Silos
38031,Los Realejos
38051,La Victoria
38026,La Orotava
38025,La Matanza
38023,La Laguna
38018,La Guancha
38022,Icod de los Vinos
38020,Güimar
38019,Guía de Isora
38017,Granadilla de Abona
38015,Garachico
38012,Fasnia
38044,El Tanque
38041,El Sauzal
38032,El Rosario
38011,Candelaria
38010,Buenavista del Norte
38006,Arona
38005,Arico
38004,Arafo
38001,Adeje
