TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2023	Empresa inscrita en la Seguridad Social	Adeje	Construcción	160			
2022	Empresa inscrita en la Seguridad Social	Adeje	Construcción	139			
2021	Empresa inscrita en la Seguridad Social	Adeje	Construcción	131			
2020	Empresa inscrita en la Seguridad Social	Adeje	Construcción	126			
2019	Empresa inscrita en la Seguridad Social	Adeje	Construcción	132			
2018	Empresa inscrita en la Seguridad Social	Adeje	Construcción	127			
2017	Empresa inscrita en la Seguridad Social	Adeje	Construcción	120			
2023	Empresa inscrita en la Seguridad Social	Arafo	Construcción	24			
2022	Empresa inscrita en la Seguridad Social	Arafo	Construcción	19			
2021	Empresa inscrita en la Seguridad Social	Arafo	Construcción	16			
2020	Empresa inscrita en la Seguridad Social	Arafo	Construcción	15			
2019	Empresa inscrita en la Seguridad Social	Arafo	Construcción	21			
2018	Empresa inscrita en la Seguridad Social	Arafo	Construcción	21			
2017	Empresa inscrita en la Seguridad Social	Arafo	Construcción	19			
2023	Empresa inscrita en la Seguridad Social	Arico	Construcción	20			
2022	Empresa inscrita en la Seguridad Social	Arico	Construcción	19			
2021	Empresa inscrita en la Seguridad Social	Arico	Construcción	17			
2020	Empresa inscrita en la Seguridad Social	Arico	Construcción	14			
2019	Empresa inscrita en la Seguridad Social	Arico	Construcción	16			
2018	Empresa inscrita en la Seguridad Social	Arico	Construcción	17			
2017	Empresa inscrita en la Seguridad Social	Arico	Construcción	18			
2023	Empresa inscrita en la Seguridad Social	Arona	Construcción	239			
2022	Empresa inscrita en la Seguridad Social	Arona	Construcción	219			
2021	Empresa inscrita en la Seguridad Social	Arona	Construcción	202			
2020	Empresa inscrita en la Seguridad Social	Arona	Construcción	186			
2019	Empresa inscrita en la Seguridad Social	Arona	Construcción	201			
2018	Empresa inscrita en la Seguridad Social	Arona	Construcción	196			
2017	Empresa inscrita en la Seguridad Social	Arona	Construcción	176			
2023	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Construcción	5			
