TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2023	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	58			
2022	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	61			
2021	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	55			
2020	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	54			
2019	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	62			
2018	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	73			
2017	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	70			
2016	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	65			
2015	Empresa inscrita en la Seguridad Social	Adeje	Actividades artísticas, recreativas y de entretenimiento	54			
2023	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	9			
2022	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	10			
2021	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	8			
2020	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	7			
2019	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	9			
2018	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	10			
2017	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	8			
2016	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	5			
2015	Empresa inscrita en la Seguridad Social	Arafo	Actividades artísticas, recreativas y de entretenimiento	4			
2023	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	8			
2022	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	8			
2021	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	7			
2020	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	7			
2019	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	9			
2018	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	7			
2017	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	5			
2016	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	2			
2015	Empresa inscrita en la Seguridad Social	Arico	Actividades artísticas, recreativas y de entretenimiento	1			
2023	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	73			
2022	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	71			
2021	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	67			
2020	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	68			
2019	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	85			
2018	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	80			
2017	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	77			
2016	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	81			
2015	Empresa inscrita en la Seguridad Social	Arona	Actividades artísticas, recreativas y de entretenimiento	78			
2023	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	1			
2022	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	1			
2021	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	2			
2020	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	2			
2019	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	2			
2018	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	1			
2017	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	1			
