TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2023	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	627			
2022	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	597			
2021	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	543			
2020	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	526			
2019	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	576			
2018	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	579			
2017	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	571			
2016	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	555			
2015	Empresa inscrita en la Seguridad Social	Adeje	Hostelería	543			
2023	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	20			
2022	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	19			
2021	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	19			
2020	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	17			
2019	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	17			
2018	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	19			
2017	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	17			
2016	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	18			
2015	Empresa inscrita en la Seguridad Social	Arafo	Hostelería	16			
2023	Empresa inscrita en la Seguridad Social	Arico	Hostelería	42			
2022	Empresa inscrita en la Seguridad Social	Arico	Hostelería	43			
2021	Empresa inscrita en la Seguridad Social	Arico	Hostelería	41			
2020	Empresa inscrita en la Seguridad Social	Arico	Hostelería	34			
2019	Empresa inscrita en la Seguridad Social	Arico	Hostelería	36			
2018	Empresa inscrita en la Seguridad Social	Arico	Hostelería	33			
2017	Empresa inscrita en la Seguridad Social	Arico	Hostelería	31			
2016	Empresa inscrita en la Seguridad Social	Arico	Hostelería	30			
2015	Empresa inscrita en la Seguridad Social	Arico	Hostelería	29			
2023	Empresa inscrita en la Seguridad Social	Arona	Hostelería	809			
