GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2022	Tasa variación interperiódica	16.05
Adeje	2022	Variación interperiódica	39
Adeje	2022	Variación anual	39
Adeje	2022	Tasa variación anual	16.05
Adeje	2022	Dato	282
Arafo	2022	Tasa variación interperiódica	-7.41
Arafo	2022	Variación interperiódica	-4
Arafo	2022	Variación anual	-4
Arafo	2022	Tasa variación anual	-7.41
Arafo	2022	Dato	50
Arico	2022	Tasa variación interperiódica	31.43
Arico	2022	Variación interperiódica	22
Arico	2022	Variación anual	22
Arico	2022	Tasa variación anual	31.43
Arico	2022	Dato	92
Arona	2022	Tasa variación interperiódica	-3.31
Arona	2022	Variación interperiódica	-17
Arona	2022	Variación anual	-17
Arona	2022	Tasa variación anual	-3.31
Arona	2022	Dato	497
Buenavista del Norte	2022	Tasa variación interperiódica	5.56
Buenavista del Norte	2022	Variación interperiódica	3
Buenavista del Norte	2022	Variación anual	3
Buenavista del Norte	2022	Tasa variación anual	5.56
Buenavista del Norte	2022	Dato	57
Candelaria	2022	Tasa variación interperiódica	12.90
Candelaria	2022	Variación interperiódica	24
Candelaria	2022	Variación anual	24
Candelaria	2022	Tasa variación anual	12.90
Candelaria	2022	Dato	210
Fasnia	2022	Tasa variación interperiódica	-7.14
Fasnia	2022	Variación interperiódica	-2
Fasnia	2022	Variación anual	-2
Fasnia	2022	Tasa variación anual	-7.14
Fasnia	2022	Dato	26
Garachico	2022	Tasa variación interperiódica	70.00
Garachico	2022	Variación interperiódica	28
Garachico	2022	Variación anual	28
Garachico	2022	Tasa variación anual	70.00
Garachico	2022	Dato	68
Granadilla de Abona	2022	Tasa variación interperiódica	-9.40
Granadilla de Abona	2022	Variación interperiódica	-28
Granadilla de Abona	2022	Variación anual	-28
Granadilla de Abona	2022	Tasa variación anual	-9.40
Granadilla de Abona	2022	Dato	270
La Guancha	2022	Tasa variación interperiódica	23.40
La Guancha	2022	Variación interperiódica	11
La Guancha	2022	Variación anual	11
La Guancha	2022	Tasa variación anual	23.40
La Guancha	2022	Dato	58
Guía de Isora	2022	Tasa variación interperiódica	-8.59
Guía de Isora	2022	Variación interperiódica	-14
Guía de Isora	2022	Variación anual	-14
Guía de Isora	2022	Tasa variación anual	-8.59
Guía de Isora	2022	Dato	149
Güímar	2022	Tasa variación interperiódica	24.56
Güímar	2022	Variación interperiódica	42
Güímar	2022	Variación anual	42
Güímar	2022	Tasa variación anual	24.56
Güímar	2022	Dato	213
Icod de los Vinos	2022	Tasa variación interperiódica	12.00
Icod de los Vinos	2022	Variación interperiódica	27
Icod de los Vinos	2022	Variación anual	27
Icod de los Vinos	2022	Tasa variación anual	12.00
Icod de los Vinos	2022	Dato	252
La Matanza de Acentejo	2022	Tasa variación interperiódica	-7.14
La Matanza de Acentejo	2022	Variación interperiódica	-5
La Matanza de Acentejo	2022	Variación anual	-5
La Matanza de Acentejo	2022	Tasa variación anual	-7.14
La Matanza de Acentejo	2022	Dato	65
La Orotava	2022	Tasa variación interperiódica	15.96
La Orotava	2022	Variación interperiódica	53
La Orotava	2022	Variación anual	53
La Orotava	2022	Tasa variación anual	15.96
La Orotava	2022	Dato	385
Puerto de La Cruz	2022	Tasa variación interperiódica	19.11
Puerto de La Cruz	2022	Variación interperiódica	73
Puerto de La Cruz	2022	Variación anual	73
Puerto de La Cruz	2022	Tasa variación anual	19.11
Puerto de La Cruz	2022	Dato	455
Los Realejos	2022	Tasa variación interperiódica	10.00
Los Realejos	2022	Variación interperiódica	30
Los Realejos	2022	Variación anual	30
Los Realejos	2022	Tasa variación anual	10.00
Los Realejos	2022	Dato	330
El Rosario	2022	Tasa variación interperiódica	-8.93
El Rosario	2022	Variación interperiódica	-10
El Rosario	2022	Variación anual	-10
El Rosario	2022	Tasa variación anual	-8.93
El Rosario	2022	Dato	102
San Cristóbal de La Laguna	2022	Tasa variación interperiódica	11.30
San Cristóbal de La Laguna	2022	Variación interperiódica	139
San Cristóbal de La Laguna	2022	Variación anual	139
San Cristóbal de La Laguna	2022	Tasa variación anual	11.30
San Cristóbal de La Laguna	2022	Dato	1369
San Juan de la Rambla	2022	Tasa variación interperiódica	4.44
San Juan de la Rambla	2022	Variación interperiódica	2
San Juan de la Rambla	2022	Variación anual	2
San Juan de la Rambla	2022	Tasa variación anual	4.44
San Juan de la Rambla	2022	Dato	47
San Miguel de Abona	2022	Tasa variación interperiódica	34.04
San Miguel de Abona	2022	Variación interperiódica	32
San Miguel de Abona	2022	Variación anual	32
