GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2022	Tasa variación interperiódica	-9.79
Adeje	2022	Variación interperiódica	-28
Adeje	2022	Variación anual	-28
Adeje	2022	Tasa variación anual	-9.79
Adeje	2022	Dato	258
Arafo	2022	Tasa variación interperiódica	-6.25
Arafo	2022	Variación interperiódica	-2
Arafo	2022	Variación anual	-2
Arafo	2022	Tasa variación anual	-6.25
Arafo	2022	Dato	30
Arico	2022	Tasa variación interperiódica	0.00
Arico	2022	Variación interperiódica	0
Arico	2022	Variación anual	0
Arico	2022	Tasa variación anual	0.00
Arico	2022	Dato	52
Arona	2022	Tasa variación interperiódica	-6.67
Arona	2022	Variación interperiódica	-35
Arona	2022	Variación anual	-35
Arona	2022	Tasa variación anual	-6.67
Arona	2022	Dato	490
Buenavista del Norte	2022	Tasa variación interperiódica	-23.81
Buenavista del Norte	2022	Variación interperiódica	-5
Buenavista del Norte	2022	Variación anual	-5
Buenavista del Norte	2022	Tasa variación anual	-23.81
Buenavista del Norte	2022	Dato	16
Candelaria	2022	Tasa variación interperiódica	8.21
Candelaria	2022	Variación interperiódica	11
Candelaria	2022	Variación anual	11
Candelaria	2022	Tasa variación anual	8.21
Candelaria	2022	Dato	145
Fasnia	2022	Tasa variación interperiódica	-14.29
Fasnia	2022	Variación interperiódica	-2
Fasnia	2022	Variación anual	-2
Fasnia	2022	Tasa variación anual	-14.29
Fasnia	2022	Dato	12
Garachico	2022	Tasa variación interperiódica	69.23
Garachico	2022	Variación interperiódica	9
Garachico	2022	Variación anual	9
Garachico	2022	Tasa variación anual	69.23
Garachico	2022	Dato	22
Granadilla de Abona	2022	Tasa variación interperiódica	-1.99
Granadilla de Abona	2022	Variación interperiódica	-7
Granadilla de Abona	2022	Variación anual	-7
Granadilla de Abona	2022	Tasa variación anual	-1.99
Granadilla de Abona	2022	Dato	345
La Guancha	2022	Tasa variación interperiódica	0.00
La Guancha	2022	Variación interperiódica	0
La Guancha	2022	Variación anual	0
La Guancha	2022	Tasa variación anual	0.00
La Guancha	2022	Dato	29
Guía de Isora	2022	Tasa variación interperiódica	3.92
Guía de Isora	2022	Variación interperiódica	6
Guía de Isora	2022	Variación anual	6
Guía de Isora	2022	Tasa variación anual	3.92
Guía de Isora	2022	Dato	159
Güímar	2022	Tasa variación interperiódica	-6.82
Güímar	2022	Variación interperiódica	-9
Güímar	2022	Variación anual	-9
Güímar	2022	Tasa variación anual	-6.82
Güímar	2022	Dato	123
Icod de los Vinos	2022	Tasa variación interperiódica	-14.50
Icod de los Vinos	2022	Variación interperiódica	-19
Icod de los Vinos	2022	Variación anual	-19
Icod de los Vinos	2022	Tasa variación anual	-14.50
Icod de los Vinos	2022	Dato	112
La Matanza de Acentejo	2022	Tasa variación interperiódica	19.15
La Matanza de Acentejo	2022	Variación interperiódica	9
La Matanza de Acentejo	2022	Variación anual	9
La Matanza de Acentejo	2022	Tasa variación anual	19.15
La Matanza de Acentejo	2022	Dato	56
La Orotava	2022	Tasa variación interperiódica	-4.87
La Orotava	2022	Variación interperiódica	-11
La Orotava	2022	Variación anual	-11
La Orotava	2022	Tasa variación anual	-4.87
La Orotava	2022	Dato	215
Puerto de la Cruz	2022	Tasa variación interperiódica	-9.15
Puerto de la Cruz	2022	Variación interperiódica	-13
Puerto de la Cruz	2022	Variación anual	-13
Puerto de la Cruz	2022	Tasa variación anual	-9.15
Puerto de la Cruz	2022	Dato	129
Los Realejos	2022	Tasa variación interperiódica	3.23
Los Realejos	2022	Variación interperiódica	6
Los Realejos	2022	Variación anual	6
Los Realejos	2022	Tasa variación anual	3.23
Los Realejos	2022	Dato	192
El Rosario	2022	Tasa variación interperiódica	-25.25
El Rosario	2022	Variación interperiódica	-25
El Rosario	2022	Variación anual	-25
El Rosario	2022	Tasa variación anual	-25.25
El Rosario	2022	Dato	74
San Cristóbal de La Laguna	2022	Tasa variación interperiódica	-4.97
San Cristóbal de La Laguna	2022	Variación interperiódica	-44
San Cristóbal de La Laguna	2022	Variación anual	-44
San Cristóbal de La Laguna	2022	Tasa variación anual	-4.97
San Cristóbal de La Laguna	2022	Dato	842
San Juan de la Rambla	2022	Tasa variación interperiódica	-13.16
San Juan de la Rambla	2022	Variación interperiódica	-5
San Juan de la Rambla	2022	Variación anual	-5
San Juan de la Rambla	2022	Tasa variación anual	-13.16
San Juan de la Rambla	2022	Dato	33
San Miguel de Abona	2022	Tasa variación interperiódica	-5.07
San Miguel de Abona	2022	Variación interperiódica	-7
San Miguel de Abona	2022	Variación anual	-7
San Miguel de Abona	2022	Tasa variación anual	-5.07
San Miguel de Abona	2022	Dato	131
Santa Cruz de Tenerife	2022	Tasa variación interperiódica	-10.89
Santa Cruz de Tenerife	2022	Variación interperiódica	-123
Santa Cruz de Tenerife	2022	Variación anual	-123
Santa Cruz de Tenerife	2022	Tasa variación anual	-10.89
Santa Cruz de Tenerife	2022	Dato	1006
Santa Úrsula	2022	Tasa variación interperiódica	-8.42
Santa Úrsula	2022	Variación interperiódica	-8
Santa Úrsula	2022	Variación anual	-8
Santa Úrsula	2022	Tasa variación anual	-8.42
Santa Úrsula	2022	Dato	87
Santiago del Teide	2022	Tasa variación interperiódica	4.29
Santiago del Teide	2022	Variación interperiódica	3
Santiago del Teide	2022	Variación anual	3
Santiago del Teide	2022	Tasa variación anual	4.29
Santiago del Teide	2022	Dato	73
El Sauzal	2022	Tasa variación interperiódica	-2.04
El Sauzal	2022	Variación interperiódica	-1
El Sauzal	2022	Variación anual	-1
El Sauzal	2022	Tasa variación anual	-2.04
El Sauzal	2022	Dato	48
Los Silos	2022	Tasa variación interperiódica	9.52
Los Silos	2022	Variación interperiódica	2
Los Silos	2022	Variación anual	2
Los Silos	2022	Tasa variación anual	9.52
Los Silos	2022	Dato	23
Tacoronte	2022	Tasa variación interperiódica	15.67
Tacoronte	2022	Variación interperiódica	21
Tacoronte	2022	Variación anual	21
Tacoronte	2022	Tasa variación anual	15.67
Tacoronte	2022	Dato	155
El Tanque	2022	Tasa variación interperiódica	0.00
El Tanque	2022	Variación interperiódica	0
El Tanque	2022	Variación anual	0
El Tanque	2022	Tasa variación anual	0.00
El Tanque	2022	Dato	17
Tegueste	2022	Tasa variación interperiódica	14.00
Tegueste	2022	Variación interperiódica	7
Tegueste	2022	Variación anual	7
Tegueste	2022	Tasa variación anual	14.00
Tegueste	2022	Dato	57
La Victoria de Acentejo	2022	Tasa variación interperiódica	-26.92
La Victoria de Acentejo	2022	Variación interperiódica	-14
La Victoria de Acentejo	2022	Variación anual	-14
La Victoria de Acentejo	2022	Tasa variación anual	-26.92
La Victoria de Acentejo	2022	Dato	38
Vilaflor de Chasna	2022	Tasa variación interperiódica	-60.00
Vilaflor de Chasna	2022	Variación interperiódica	-6
Vilaflor de Chasna	2022	Variación anual	-6
Vilaflor de Chasna	2022	Tasa variación anual	-60.00
Vilaflor de Chasna	2022	Dato	4
Adeje	2021	Tasa variación interperiódica	2.51
Adeje	2021	Variación interperiódica	7
Adeje	2021	Variación anual	7
Adeje	2021	Tasa variación anual	2.51
Adeje	2021	Dato	286
Arafo	2021	Tasa variación interperiódica	3.23
Arafo	2021	Variación interperiódica	1
Arafo	2021	Variación anual	1
Arafo	2021	Tasa variación anual	3.23
Arafo	2021	Dato	32
Arico	2021	Tasa variación interperiódica	-13.33
Arico	2021	Variación interperiódica	-8
Arico	2021	Variación anual	-8
Arico	2021	Tasa variación anual	-13.33
Arico	2021	Dato	52
Arona	2021	Tasa variación interperiódica	-11.17
Arona	2021	Variación interperiódica	-66
Arona	2021	Variación anual	-66
Arona	2021	Tasa variación anual	-11.17
Arona	2021	Dato	525
Buenavista del Norte	2021	Tasa variación interperiódica	0.00
Buenavista del Norte	2021	Variación interperiódica	0
Buenavista del Norte	2021	Variación anual	0
Buenavista del Norte	2021	Tasa variación anual	0.00
Buenavista del Norte	2021	Dato	21
Candelaria	2021	Tasa variación interperiódica	-22.99
Candelaria	2021	Variación interperiódica	-40
Candelaria	2021	Variación anual	-40
Candelaria	2021	Tasa variación anual	-22.99
Candelaria	2021	Dato	134
Fasnia	2021	Tasa variación interperiódica	0.00
Fasnia	2021	Variación interperiódica	0
Fasnia	2021	Variación anual	0
Fasnia	2021	Tasa variación anual	0.00
Fasnia	2021	Dato	14
Garachico	2021	Tasa variación interperiódica	-55.17
Garachico	2021	Variación interperiódica	-16
Garachico	2021	Variación anual	-16
Garachico	2021	Tasa variación anual	-55.17
Garachico	2021	Dato	13
Granadilla de Abona	2021	Tasa variación interperiódica	-10.43
Granadilla de Abona	2021	Variación interperiódica	-41
Granadilla de Abona	2021	Variación anual	-41
Granadilla de Abona	2021	Tasa variación anual	-10.43
Granadilla de Abona	2021	Dato	352
La Guancha	2021	Tasa variación interperiódica	-6.45
La Guancha	2021	Variación interperiódica	-2
La Guancha	2021	Variación anual	-2
La Guancha	2021	Tasa variación anual	-6.45
La Guancha	2021	Dato	29
Guía de Isora	2021	Tasa variación interperiódica	10.07
Guía de Isora	2021	Variación interperiódica	14
Guía de Isora	2021	Variación anual	14
Guía de Isora	2021	Tasa variación anual	10.07
Guía de Isora	2021	Dato	153
Güímar	2021	Tasa variación interperiódica	-7.69
Güímar	2021	Variación interperiódica	-11
Güímar	2021	Variación anual	-11
Güímar	2021	Tasa variación anual	-7.69
Güímar	2021	Dato	132
Icod de los Vinos	2021	Tasa variación interperiódica	-14.94
Icod de los Vinos	2021	Variación interperiódica	-23
Icod de los Vinos	2021	Variación anual	-23
Icod de los Vinos	2021	Tasa variación anual	-14.94
Icod de los Vinos	2021	Dato	131
La Matanza de Acentejo	2021	Tasa variación interperiódica	-25.40
La Matanza de Acentejo	2021	Variación interperiódica	-16
La Matanza de Acentejo	2021	Variación anual	-16
La Matanza de Acentejo	2021	Tasa variación anual	-25.40
La Matanza de Acentejo	2021	Dato	47
La Orotava	2021	Tasa variación interperiódica	-15.36
La Orotava	2021	Variación interperiódica	-41
La Orotava	2021	Variación anual	-41
La Orotava	2021	Tasa variación anual	-15.36
La Orotava	2021	Dato	226
Puerto de la Cruz	2021	Tasa variación interperiódica	-5.33
Puerto de la Cruz	2021	Variación interperiódica	-8
Puerto de la Cruz	2021	Variación anual	-8
Puerto de la Cruz	2021	Tasa variación anual	-5.33
Puerto de la Cruz	2021	Dato	142
Los Realejos	2021	Tasa variación interperiódica	-23.14
Los Realejos	2021	Variación interperiódica	-56
Los Realejos	2021	Variación anual	-56
Los Realejos	2021	Tasa variación anual	-23.14
Los Realejos	2021	Dato	186
El Rosario	2021	Tasa variación interperiódica	7.61
El Rosario	2021	Variación interperiódica	7
El Rosario	2021	Variación anual	7
El Rosario	2021	Tasa variación anual	7.61
El Rosario	2021	Dato	99
San Cristóbal de La Laguna	2021	Tasa variación interperiódica	4.24
San Cristóbal de La Laguna	2021	Variación interperiódica	36
San Cristóbal de La Laguna	2021	Variación anual	36
San Cristóbal de La Laguna	2021	Tasa variación anual	4.24
San Cristóbal de La Laguna	2021	Dato	886
San Juan de la Rambla	2021	Tasa variación interperiódica	65.22
San Juan de la Rambla	2021	Variación interperiódica	15
San Juan de la Rambla	2021	Variación anual	15
San Juan de la Rambla	2021	Tasa variación anual	65.22
San Juan de la Rambla	2021	Dato	38
San Miguel de Abona	2021	Tasa variación interperiódica	-11.54
San Miguel de Abona	2021	Variación interperiódica	-18
San Miguel de Abona	2021	Variación anual	-18
San Miguel de Abona	2021	Tasa variación anual	-11.54
San Miguel de Abona	2021	Dato	138
Santa Cruz de Tenerife	2021	Tasa variación interperiódica	-2.50
Santa Cruz de Tenerife	2021	Variación interperiódica	-29
Santa Cruz de Tenerife	2021	Variación anual	-29
Santa Cruz de Tenerife	2021	Tasa variación anual	-2.50
Santa Cruz de Tenerife	2021	Dato	1129
Santa Úrsula	2021	Tasa variación interperiódica	6.74
Santa Úrsula	2021	Variación interperiódica	6
Santa Úrsula	2021	Variación anual	6
Santa Úrsula	2021	Tasa variación anual	6.74
Santa Úrsula	2021	Dato	95
Santiago del Teide	2021	Tasa variación interperiódica	-10.26
Santiago del Teide	2021	Variación interperiódica	-8
Santiago del Teide	2021	Variación anual	-8
Santiago del Teide	2021	Tasa variación anual	-10.26
Santiago del Teide	2021	Dato	70
El Sauzal	2021	Tasa variación interperiódica	19.51
El Sauzal	2021	Variación interperiódica	8
El Sauzal	2021	Variación anual	8
El Sauzal	2021	Tasa variación anual	19.51
El Sauzal	2021	Dato	49
Los Silos	2021	Tasa variación interperiódica	5.00
Los Silos	2021	Variación interperiódica	1
Los Silos	2021	Variación anual	1
Los Silos	2021	Tasa variación anual	5.00
Los Silos	2021	Dato	21
Tacoronte	2021	Tasa variación interperiódica	13.56
Tacoronte	2021	Variación interperiódica	16
Tacoronte	2021	Variación anual	16
Tacoronte	2021	Tasa variación anual	13.56
Tacoronte	2021	Dato	134
El Tanque	2021	Tasa variación interperiódica	6.25
El Tanque	2021	Variación interperiódica	1
El Tanque	2021	Variación anual	1
El Tanque	2021	Tasa variación anual	6.25
El Tanque	2021	Dato	17
Tegueste	2021	Tasa variación interperiódica	2.04
Tegueste	2021	Variación interperiódica	1
Tegueste	2021	Variación anual	1
Tegueste	2021	Tasa variación anual	2.04
Tegueste	2021	Dato	50
La Victoria de Acentejo	2021	Tasa variación interperiódica	-3.70
La Victoria de Acentejo	2021	Variación interperiódica	-2
La Victoria de Acentejo	2021	Variación anual	-2
La Victoria de Acentejo	2021	Tasa variación anual	-3.70
La Victoria de Acentejo	2021	Dato	52
Vilaflor de Chasna	2021	Tasa variación interperiódica	11.11
Vilaflor de Chasna	2021	Variación interperiódica	1
Vilaflor de Chasna	2021	Variación anual	1
Vilaflor de Chasna	2021	Tasa variación anual	11.11
Vilaflor de Chasna	2021	Dato	10
Adeje	2020	Tasa variación interperiódica	-18.66
Adeje	2020	Variación interperiódica	-64
Adeje	2020	Variación anual	-64
Adeje	2020	Tasa variación anual	-18.66
Adeje	2020	Dato	279
Arafo	2020	Tasa variación interperiódica	24.00
Arafo	2020	Variación interperiódica	6
Arafo	2020	Variación anual	6
Arafo	2020	Tasa variación anual	24.00
Arafo	2020	Dato	31
Arico	2020	Tasa variación interperiódica	17.65
Arico	2020	Variación interperiódica	9
Arico	2020	Variación anual	9
Arico	2020	Tasa variación anual	17.65
Arico	2020	Dato	60
Arona	2020	Tasa variación interperiódica	-4.98
Arona	2020	Variación interperiódica	-31
Arona	2020	Variación anual	-31
Arona	2020	Tasa variación anual	-4.98
Arona	2020	Dato	591
Buenavista del Norte	2020	Tasa variación interperiódica	-16.00
Buenavista del Norte	2020	Variación interperiódica	-4
Buenavista del Norte	2020	Variación anual	-4
Buenavista del Norte	2020	Tasa variación anual	-16.00
Buenavista del Norte	2020	Dato	21
Candelaria	2020	Tasa variación interperiódica	-11.22
Candelaria	2020	Variación interperiódica	-22
Candelaria	2020	Variación anual	-22
Candelaria	2020	Tasa variación anual	-11.22
Candelaria	2020	Dato	174
Fasnia	2020	Tasa variación interperiódica	-12.50
Fasnia	2020	Variación interperiódica	-2
Fasnia	2020	Variación anual	-2
Fasnia	2020	Tasa variación anual	-12.50
Fasnia	2020	Dato	14
Garachico	2020	Tasa variación interperiódica	11.54
Garachico	2020	Variación interperiódica	3
Garachico	2020	Variación anual	3
Garachico	2020	Tasa variación anual	11.54
Garachico	2020	Dato	29
Granadilla de Abona	2020	Tasa variación interperiódica	-7.31
Granadilla de Abona	2020	Variación interperiódica	-31
Granadilla de Abona	2020	Variación anual	-31
Granadilla de Abona	2020	Tasa variación anual	-7.31
Granadilla de Abona	2020	Dato	393
La Guancha	2020	Tasa variación interperiódica	19.23
La Guancha	2020	Variación interperiódica	5
La Guancha	2020	Variación anual	5
La Guancha	2020	Tasa variación anual	19.23
La Guancha	2020	Dato	31
Guía de Isora	2020	Tasa variación interperiódica	-13.13
Guía de Isora	2020	Variación interperiódica	-21
Guía de Isora	2020	Variación anual	-21
Guía de Isora	2020	Tasa variación anual	-13.13
Guía de Isora	2020	Dato	139
Güímar	2020	Tasa variación interperiódica	14.40
Güímar	2020	Variación interperiódica	18
Güímar	2020	Variación anual	18
Güímar	2020	Tasa variación anual	14.40
Güímar	2020	Dato	143
Icod de los Vinos	2020	Tasa variación interperiódica	10.00
Icod de los Vinos	2020	Variación interperiódica	14
Icod de los Vinos	2020	Variación anual	14
Icod de los Vinos	2020	Tasa variación anual	10.00
Icod de los Vinos	2020	Dato	154
La Matanza de Acentejo	2020	Tasa variación interperiódica	12.50
La Matanza de Acentejo	2020	Variación interperiódica	7
La Matanza de Acentejo	2020	Variación anual	7
La Matanza de Acentejo	2020	Tasa variación anual	12.50
La Matanza de Acentejo	2020	Dato	63
La Orotava	2020	Tasa variación interperiódica	-1.48
La Orotava	2020	Variación interperiódica	-4
La Orotava	2020	Variación anual	-4
La Orotava	2020	Tasa variación anual	-1.48
La Orotava	2020	Dato	267
Puerto de la Cruz	2020	Tasa variación interperiódica	-4.46
Puerto de la Cruz	2020	Variación interperiódica	-7
Puerto de la Cruz	2020	Variación anual	-7
Puerto de la Cruz	2020	Tasa variación anual	-4.46
Puerto de la Cruz	2020	Dato	150
Los Realejos	2020	Tasa variación interperiódica	4.31
Los Realejos	2020	Variación interperiódica	10
Los Realejos	2020	Variación anual	10
Los Realejos	2020	Tasa variación anual	4.31
Los Realejos	2020	Dato	242
El Rosario	2020	Tasa variación interperiódica	2.22
El Rosario	2020	Variación interperiódica	2
El Rosario	2020	Variación anual	2
El Rosario	2020	Tasa variación anual	2.22
El Rosario	2020	Dato	92
San Cristóbal de La Laguna	2020	Tasa variación interperiódica	-8.80
San Cristóbal de La Laguna	2020	Variación interperiódica	-82
San Cristóbal de La Laguna	2020	Variación anual	-82
San Cristóbal de La Laguna	2020	Tasa variación anual	-8.80
San Cristóbal de La Laguna	2020	Dato	850
San Juan de la Rambla	2020	Tasa variación interperiódica	-28.13
San Juan de la Rambla	2020	Variación interperiódica	-9
San Juan de la Rambla	2020	Variación anual	-9
San Juan de la Rambla	2020	Tasa variación anual	-28.13
San Juan de la Rambla	2020	Dato	23
San Miguel de Abona	2020	Tasa variación interperiódica	-6.02
San Miguel de Abona	2020	Variación interperiódica	-10
San Miguel de Abona	2020	Variación anual	-10
San Miguel de Abona	2020	Tasa variación anual	-6.02
San Miguel de Abona	2020	Dato	156
Santa Cruz de Tenerife	2020	Tasa variación interperiódica	-5.85
Santa Cruz de Tenerife	2020	Variación interperiódica	-72
Santa Cruz de Tenerife	2020	Variación anual	-72
Santa Cruz de Tenerife	2020	Tasa variación anual	-5.85
Santa Cruz de Tenerife	2020	Dato	1158
Santa Úrsula	2020	Tasa variación interperiódica	-3.26
Santa Úrsula	2020	Variación interperiódica	-3
Santa Úrsula	2020	Variación anual	-3
Santa Úrsula	2020	Tasa variación anual	-3.26
Santa Úrsula	2020	Dato	89
Santiago del Teide	2020	Tasa variación interperiódica	-10.34
Santiago del Teide	2020	Variación interperiódica	-9
Santiago del Teide	2020	Variación anual	-9
Santiago del Teide	2020	Tasa variación anual	-10.34
Santiago del Teide	2020	Dato	78
El Sauzal	2020	Tasa variación interperiódica	-29.31
El Sauzal	2020	Variación interperiódica	-17
El Sauzal	2020	Variación anual	-17
El Sauzal	2020	Tasa variación anual	-29.31
El Sauzal	2020	Dato	41
Los Silos	2020	Tasa variación interperiódica	-31.03
Los Silos	2020	Variación interperiódica	-9
Los Silos	2020	Variación anual	-9
Los Silos	2020	Tasa variación anual	-31.03
Los Silos	2020	Dato	20
Tacoronte	2020	Tasa variación interperiódica	-21.85
Tacoronte	2020	Variación interperiódica	-33
Tacoronte	2020	Variación anual	-33
Tacoronte	2020	Tasa variación anual	-21.85
Tacoronte	2020	Dato	118
El Tanque	2020	Tasa variación interperiódica	-5.88
El Tanque	2020	Variación interperiódica	-1
El Tanque	2020	Variación anual	-1
El Tanque	2020	Tasa variación anual	-5.88
El Tanque	2020	Dato	16
Tegueste	2020	Tasa variación interperiódica	-25.76
Tegueste	2020	Variación interperiódica	-17
Tegueste	2020	Variación anual	-17
Tegueste	2020	Tasa variación anual	-25.76
Tegueste	2020	Dato	49
La Victoria de Acentejo	2020	Tasa variación interperiódica	-12.90
La Victoria de Acentejo	2020	Variación interperiódica	-8
La Victoria de Acentejo	2020	Variación anual	-8
La Victoria de Acentejo	2020	Tasa variación anual	-12.90
La Victoria de Acentejo	2020	Dato	54
Vilaflor de Chasna	2020	Tasa variación interperiódica	28.57
Vilaflor de Chasna	2020	Variación interperiódica	2
Vilaflor de Chasna	2020	Variación anual	2
Vilaflor de Chasna	2020	Tasa variación anual	28.57
Vilaflor de Chasna	2020	Dato	9
Adeje	2019	Tasa variación interperiódica	-4.72
Adeje	2019	Variación interperiódica	-17
Adeje	2019	Variación anual	-17
Adeje	2019	Tasa variación anual	-4.72
Adeje	2019	Dato	343
Arafo	2019	Tasa variación interperiódica	-30.56
Arafo	2019	Variación interperiódica	-11
Arafo	2019	Variación anual	-11
Arafo	2019	Tasa variación anual	-30.56
Arafo	2019	Dato	25
Arico	2019	Tasa variación interperiódica	-8.93
Arico	2019	Variación interperiódica	-5
Arico	2019	Variación anual	-5
Arico	2019	Tasa variación anual	-8.93
Arico	2019	Dato	51
Arona	2019	Tasa variación interperiódica	-4.45
Arona	2019	Variación interperiódica	-29
Arona	2019	Variación anual	-29
Arona	2019	Tasa variación anual	-4.45
Arona	2019	Dato	622
Buenavista del Norte	2019	Tasa variación interperiódica	-19.35
Buenavista del Norte	2019	Variación interperiódica	-6
Buenavista del Norte	2019	Variación anual	-6
Buenavista del Norte	2019	Tasa variación anual	-19.35
Buenavista del Norte	2019	Dato	25
Candelaria	2019	Tasa variación interperiódica	5.38
Candelaria	2019	Variación interperiódica	10
Candelaria	2019	Variación anual	10
Candelaria	2019	Tasa variación anual	5.38
Candelaria	2019	Dato	196
Fasnia	2019	Tasa variación interperiódica	6.67
Fasnia	2019	Variación interperiódica	1
Fasnia	2019	Variación anual	1
Fasnia	2019	Tasa variación anual	6.67
Fasnia	2019	Dato	16
Garachico	2019	Tasa variación interperiódica	-35.00
Garachico	2019	Variación interperiódica	-14
Garachico	2019	Variación anual	-14
Garachico	2019	Tasa variación anual	-35.00
Garachico	2019	Dato	26
Granadilla de Abona	2019	Tasa variación interperiódica	-3.20
Granadilla de Abona	2019	Variación interperiódica	-14
Granadilla de Abona	2019	Variación anual	-14
Granadilla de Abona	2019	Tasa variación anual	-3.20
Granadilla de Abona	2019	Dato	424
La Guancha	2019	Tasa variación interperiódica	-43.48
La Guancha	2019	Variación interperiódica	-20
La Guancha	2019	Variación anual	-20
La Guancha	2019	Tasa variación anual	-43.48
La Guancha	2019	Dato	26
Guía de Isora	2019	Tasa variación interperiódica	-15.79
Guía de Isora	2019	Variación interperiódica	-30
Guía de Isora	2019	Variación anual	-30
Guía de Isora	2019	Tasa variación anual	-15.79
Guía de Isora	2019	Dato	160
Güímar	2019	Tasa variación interperiódica	-13.19
Güímar	2019	Variación interperiódica	-19
Güímar	2019	Variación anual	-19
Güímar	2019	Tasa variación anual	-13.19
Güímar	2019	Dato	125
Icod de los Vinos	2019	Tasa variación interperiódica	-5.41
Icod de los Vinos	2019	Variación interperiódica	-8
Icod de los Vinos	2019	Variación anual	-8
Icod de los Vinos	2019	Tasa variación anual	-5.41
Icod de los Vinos	2019	Dato	140
La Matanza de Acentejo	2019	Tasa variación interperiódica	-22.22
La Matanza de Acentejo	2019	Variación interperiódica	-16
La Matanza de Acentejo	2019	Variación anual	-16
La Matanza de Acentejo	2019	Tasa variación anual	-22.22
La Matanza de Acentejo	2019	Dato	56
La Orotava	2019	Tasa variación interperiódica	-12.01
La Orotava	2019	Variación interperiódica	-37
La Orotava	2019	Variación anual	-37
La Orotava	2019	Tasa variación anual	-12.01
La Orotava	2019	Dato	271
Puerto de la Cruz	2019	Tasa variación interperiódica	-20.71
Puerto de la Cruz	2019	Variación interperiódica	-41
Puerto de la Cruz	2019	Variación anual	-41
Puerto de la Cruz	2019	Tasa variación anual	-20.71
Puerto de la Cruz	2019	Dato	157
Los Realejos	2019	Tasa variación interperiódica	-10.42
Los Realejos	2019	Variación interperiódica	-27
Los Realejos	2019	Variación anual	-27
Los Realejos	2019	Tasa variación anual	-10.42
Los Realejos	2019	Dato	232
El Rosario	2019	Tasa variación interperiódica	-7.22
El Rosario	2019	Variación interperiódica	-7
El Rosario	2019	Variación anual	-7
El Rosario	2019	Tasa variación anual	-7.22
El Rosario	2019	Dato	90
San Cristóbal de La Laguna	2019	Tasa variación interperiódica	-5.48
San Cristóbal de La Laguna	2019	Variación interperiódica	-54
San Cristóbal de La Laguna	2019	Variación anual	-54
San Cristóbal de La Laguna	2019	Tasa variación anual	-5.48
