GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2022	Tasa variación interperiódica	1.77
Adeje	2022	Variación interperiódica	0.7
Adeje	2022	Variación anual	0.7
Adeje	2022	Tasa variación anual	1.77
Adeje	2022	Dato	40.2
Arafo	2022	Tasa variación interperiódica	0.23
Arafo	2022	Variación interperiódica	0.1
Arafo	2022	Variación anual	0.1
Arafo	2022	Tasa variación anual	0.23
Arafo	2022	Dato	43.9
Arico	2022	Tasa variación interperiódica	1.15
Arico	2022	Variación interperiódica	0.5
Arico	2022	Variación anual	0.5
Arico	2022	Tasa variación anual	1.15
Arico	2022	Dato	44.0
Arona	2022	Tasa variación interperiódica	1.73
Arona	2022	Variación interperiódica	0.7
Arona	2022	Variación anual	0.7
Arona	2022	Tasa variación anual	1.73
Arona	2022	Dato	41.2
Buenavista del Norte	2022	Tasa variación interperiódica	1.06
Buenavista del Norte	2022	Variación interperiódica	0.5
Buenavista del Norte	2022	Variación anual	0.5
Buenavista del Norte	2022	Tasa variación anual	1.06
Buenavista del Norte	2022	Dato	47.7
Candelaria	2022	Tasa variación interperiódica	1.18
Candelaria	2022	Variación interperiódica	0.5
Candelaria	2022	Variación anual	0.5
Candelaria	2022	Tasa variación anual	1.18
Candelaria	2022	Dato	42.8
Fasnia	2022	Tasa variación interperiódica	0.21
Fasnia	2022	Variación interperiódica	0.1
Fasnia	2022	Variación anual	0.1
Fasnia	2022	Tasa variación anual	0.21
Fasnia	2022	Dato	47.4
Garachico	2022	Tasa variación interperiódica	1.27
Garachico	2022	Variación interperiódica	0.6
Garachico	2022	Variación anual	0.6
Garachico	2022	Tasa variación anual	1.27
Garachico	2022	Dato	47.9
Granadilla de Abona	2022	Tasa variación interperiódica	1.28
Granadilla de Abona	2022	Variación interperiódica	0.5
Granadilla de Abona	2022	Variación anual	0.5
Granadilla de Abona	2022	Tasa variación anual	1.28
Granadilla de Abona	2022	Dato	39.5
La Guancha	2022	Tasa variación interperiódica	0.67
La Guancha	2022	Variación interperiódica	0.3
La Guancha	2022	Variación anual	0.3
La Guancha	2022	Tasa variación anual	0.67
La Guancha	2022	Dato	45.4
Guía de Isora	2022	Tasa variación interperiódica	1.21
Guía de Isora	2022	Variación interperiódica	0.5
Guía de Isora	2022	Variación anual	0.5
Guía de Isora	2022	Tasa variación anual	1.21
Guía de Isora	2022	Dato	41.7
Güímar	2022	Tasa variación interperiódica	0.70
Güímar	2022	Variación interperiódica	0.3
Güímar	2022	Variación anual	0.3
Güímar	2022	Tasa variación anual	0.70
Güímar	2022	Dato	43.1
Icod de los Vinos	2022	Tasa variación interperiódica	0.90
Icod de los Vinos	2022	Variación interperiódica	0.4
Icod de los Vinos	2022	Variación anual	0.4
Icod de los Vinos	2022	Tasa variación anual	0.90
Icod de los Vinos	2022	Dato	45.0
La Matanza de Acentejo	2022	Tasa variación interperiódica	1.43
La Matanza de Acentejo	2022	Variación interperiódica	0.6
La Matanza de Acentejo	2022	Variación anual	0.6
La Matanza de Acentejo	2022	Tasa variación anual	1.43
