GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2022	Tasa variación interperiódica	1.83
Adeje	2022	Variación interperiódica	420
Adeje	2022	Variación anual	420
Adeje	2022	Tasa variación anual	1.83
Adeje	2022	Dato	23312
Arafo	2022	Tasa variación interperiódica	4.13
Arafo	2022	Variación interperiódica	9
Arafo	2022	Variación anual	9
Arafo	2022	Tasa variación anual	4.13
Arafo	2022	Dato	227
Arico	2022	Tasa variación interperiódica	22.81
Arico	2022	Variación interperiódica	291
Arico	2022	Variación anual	291
Arico	2022	Tasa variación anual	22.81
Arico	2022	Dato	1567
Arona	2022	Tasa variación interperiódica	0.56
Arona	2022	Variación interperiódica	175
Arona	2022	Variación anual	175
Arona	2022	Tasa variación anual	0.56
Arona	2022	Dato	31570
Buenavista del Norte	2022	Tasa variación interperiódica	10.51
Buenavista del Norte	2022	Variación interperiódica	29
Buenavista del Norte	2022	Variación anual	29
Buenavista del Norte	2022	Tasa variación anual	10.51
Buenavista del Norte	2022	Dato	305
Candelaria	2022	Tasa variación interperiódica	-3.24
Candelaria	2022	Variación interperiódica	-66
Candelaria	2022	Variación anual	-66
Candelaria	2022	Tasa variación anual	-3.24
Candelaria	2022	Dato	1970
Fasnia	2022	Tasa variación interperiódica	11.79
Fasnia	2022	Variación interperiódica	23
Fasnia	2022	Variación anual	23
Fasnia	2022	Tasa variación anual	11.79
Fasnia	2022	Dato	218
Garachico	2022	Tasa variación interperiódica	10.49
Garachico	2022	Variación interperiódica	30
Garachico	2022	Variación anual	30
Garachico	2022	Tasa variación anual	10.49
Garachico	2022	Dato	316
Granadilla de Abona	2022	Tasa variación interperiódica	1.22
Granadilla de Abona	2022	Variación interperiódica	152
Granadilla de Abona	2022	Variación anual	152
Granadilla de Abona	2022	Tasa variación anual	1.22
Granadilla de Abona	2022	Dato	12605
La Guancha	2022	Tasa variación interperiódica	7.36
La Guancha	2022	Variación interperiódica	19
La Guancha	2022	Variación anual	19
La Guancha	2022	Tasa variación anual	7.36
La Guancha	2022	Dato	277
Guía de Isora	2022	Tasa variación interperiódica	-1.85
Guía de Isora	2022	Variación interperiódica	-91
Guía de Isora	2022	Variación anual	-91
Guía de Isora	2022	Tasa variación anual	-1.85
Guía de Isora	2022	Dato	4837
Güímar	2022	Tasa variación interperiódica	5.47
Güímar	2022	Variación interperiódica	77
Güímar	2022	Variación anual	77
Güímar	2022	Tasa variación anual	5.47
