GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2022	Tasa variación interperiódica	1.10
Adeje	2022	Variación interperiódica	537
Adeje	2022	Variación anual	537
Adeje	2022	Tasa variación anual	1.10
Adeje	2022	Dato	49270
Arafo	2022	Tasa variación interperiódica	0.34
Arafo	2022	Variación interperiódica	19
Arafo	2022	Variación anual	19
Arafo	2022	Tasa variación anual	0.34
Arafo	2022	Dato	5623
Arico	2022	Tasa variación interperiódica	6.32
Arico	2022	Variación interperiódica	520
Arico	2022	Variación anual	520
Arico	2022	Tasa variación anual	6.32
Arico	2022	Dato	8754
Arona	2022	Tasa variación interperiódica	0.51
Arona	2022	Variación interperiódica	419
Arona	2022	Variación anual	419
Arona	2022	Tasa variación anual	0.51
Arona	2022	Dato	82982
Buenavista del Norte	2022	Tasa variación interperiódica	-0.27
Buenavista del Norte	2022	Variación interperiódica	-13
Buenavista del Norte	2022	Variación anual	-13
Buenavista del Norte	2022	Tasa variación anual	-0.27
Buenavista del Norte	2022	Dato	4753
Candelaria	2022	Tasa variación interperiódica	0.08
Candelaria	2022	Variación interperiódica	22
Candelaria	2022	Variación anual	22
Candelaria	2022	Tasa variación anual	0.08
Candelaria	2022	Dato	28485
Fasnia	2022	Tasa variación interperiódica	1.50
Fasnia	2022	Variación interperiódica	42
Fasnia	2022	Variación anual	42
Fasnia	2022	Tasa variación anual	1.50
Fasnia	2022	Dato	2849
Garachico	2022	Tasa variación interperiódica	0.51
Garachico	2022	Variación interperiódica	25
Garachico	2022	Variación anual	25
Garachico	2022	Tasa variación anual	0.51
Garachico	2022	Dato	4920
Granadilla de Abona	2022	Tasa variación interperiódica	1.15
Granadilla de Abona	2022	Variación interperiódica	597
Granadilla de Abona	2022	Variación anual	597
Granadilla de Abona	2022	Tasa variación anual	1.15
Granadilla de Abona	2022	Dato	52447
La Guancha	2022	Tasa variación interperiódica	0.14
La Guancha	2022	Variación interperiódica	8
La Guancha	2022	Variación anual	8
La Guancha	2022	Tasa variación anual	0.14
La Guancha	2022	Dato	5561
Guía de Isora	2022	Tasa variación interperiódica	-0.53
Guía de Isora	2022	Variación interperiódica	-116
Guía de Isora	2022	Variación anual	-116
Guía de Isora	2022	Tasa variación anual	-0.53
Guía de Isora	2022	Dato	21711
Güímar	2022	Tasa variación interperiódica	1.07
Güímar	2022	Variación interperiódica	224
Güímar	2022	Variación anual	224
Güímar	2022	Tasa variación anual	1.07
Güímar	2022	Dato	21224
Icod de los Vinos	2022	Tasa variación interperiódica	0.80
Icod de los Vinos	2022	Variación interperiódica	186
Icod de los Vinos	2022	Variación anual	186
Icod de los Vinos	2022	Tasa variación anual	0.80
Icod de los Vinos	2022	Dato	23496
La Matanza de Acentejo	2022	Tasa variación interperiódica	-0.66
La Matanza de Acentejo	2022	Variación interperiódica	-60
La Matanza de Acentejo	2022	Variación anual	-60
La Matanza de Acentejo	2022	Tasa variación anual	-0.66
La Matanza de Acentejo	2022	Dato	9054
La Orotava	2022	Tasa variación interperiódica	0.51
La Orotava	2022	Variación interperiódica	215
La Orotava	2022	Variación anual	215
La Orotava	2022	Tasa variación anual	0.51
La Orotava	2022	Dato	42434
Puerto de la Cruz	2022	Tasa variación interperiódica	0.56
Puerto de la Cruz	2022	Variación interperiódica	170
Puerto de la Cruz	2022	Variación anual	170
Puerto de la Cruz	2022	Tasa variación anual	0.56
Puerto de la Cruz	2022	Dato	30349
Los Realejos	2022	Tasa variación interperiódica	0.68
Los Realejos	2022	Variación interperiódica	252
Los Realejos	2022	Variación anual	252
Los Realejos	2022	Tasa variación anual	0.68
Los Realejos	2022	Dato	37076
El Rosario	2022	Tasa variación interperiódica	0.91
El Rosario	2022	Variación interperiódica	160
El Rosario	2022	Variación anual	160
El Rosario	2022	Tasa variación anual	0.91
El Rosario	2022	Dato	17750
San Cristóbal de La Laguna	2022	Tasa variación interperiódica	-0.12
San Cristóbal de La Laguna	2022	Variación interperiódica	-195
San Cristóbal de La Laguna	2022	Variación anual	-195
San Cristóbal de La Laguna	2022	Tasa variación anual	-0.12
San Cristóbal de La Laguna	2022	Dato	157815
San Juan de la Rambla	2022	Tasa variación interperiódica	0.21
San Juan de la Rambla	2022	Variación interperiódica	10
San Juan de la Rambla	2022	Variación anual	10
San Juan de la Rambla	2022	Tasa variación anual	0.21
San Juan de la Rambla	2022	Dato	4864
San Miguel de Abona	2022	Tasa variación interperiódica	0.20
San Miguel de Abona	2022	Variación interperiódica	43
San Miguel de Abona	2022	Variación anual	43
San Miguel de Abona	2022	Tasa variación anual	0.20
San Miguel de Abona	2022	Dato	21915
Santa Cruz de Tenerife	2022	Tasa variación interperiódica	0.06
Santa Cruz de Tenerife	2022	Variación interperiódica	125
Santa Cruz de Tenerife	2022	Variación anual	125
Santa Cruz de Tenerife	2022	Tasa variación anual	0.06
Santa Cruz de Tenerife	2022	Dato	208688
Santa Úrsula	2022	Tasa variación interperiódica	0.85
Santa Úrsula	2022	Variación interperiódica	127
Santa Úrsula	2022	Variación anual	127
Santa Úrsula	2022	Tasa variación anual	0.85
Santa Úrsula	2022	Dato	15114
Santiago del Teide	2022	Tasa variación interperiódica	0.42
Santiago del Teide	2022	Variación interperiódica	47
Santiago del Teide	2022	Variación anual	47
Santiago del Teide	2022	Tasa variación anual	0.42
Santiago del Teide	2022	Dato	11162
El Sauzal	2022	Tasa variación interperiódica	0.98
El Sauzal	2022	Variación interperiódica	87
El Sauzal	2022	Variación anual	87
