GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2021	Tasa variación interperiódica	69.81
Adeje	2021	Variación interperiódica	652
Adeje	2021	Variación anual	652
Adeje	2021	Tasa variación anual	69.81
Adeje	2021	Dato	1586
Arafo	2021	Tasa variación interperiódica	135.29
Arafo	2021	Variación interperiódica	23
Arafo	2021	Variación anual	23
Arafo	2021	Tasa variación anual	135.29
Arafo	2021	Dato	40
Arico	2021	Tasa variación interperiódica	67.96
Arico	2021	Variación interperiódica	70
Arico	2021	Variación anual	70
Arico	2021	Tasa variación anual	67.96
Arico	2021	Dato	173
Arona	2021	Tasa variación interperiódica	23.47
Arona	2021	Variación interperiódica	360
Arona	2021	Variación anual	360
Arona	2021	Tasa variación anual	23.47
Arona	2021	Dato	1894
Buenavista del Norte	2021	Tasa variación interperiódica	-241.18
Buenavista del Norte	2021	Variación interperiódica	41
Buenavista del Norte	2021	Variación anual	41
Buenavista del Norte	2021	Tasa variación anual	-241.18
Buenavista del Norte	2021	Dato	24
Candelaria	2021	Tasa variación interperiódica	14.12
Candelaria	2021	Variación interperiódica	24
Candelaria	2021	Variación anual	24
Candelaria	2021	Tasa variación anual	14.12
Candelaria	2021	Dato	194
Fasnia	2021	Tasa variación interperiódica	4.76
Fasnia	2021	Variación interperiódica	1
Fasnia	2021	Variación anual	1
Fasnia	2021	Tasa variación anual	4.76
Fasnia	2021	Dato	22
Garachico	2021	Tasa variación interperiódica	62.16
Garachico	2021	Variación interperiódica	23
Garachico	2021	Variación anual	23
Garachico	2021	Tasa variación anual	62.16
Garachico	2021	Dato	60
Granadilla de Abona	2021	Tasa variación interperiódica	31.74
Granadilla de Abona	2021	Variación interperiódica	179
Granadilla de Abona	2021	Variación anual	179
Granadilla de Abona	2021	Tasa variación anual	31.74
Granadilla de Abona	2021	Dato	743
La Guancha	2021	Tasa variación interperiódica	-30.00
La Guancha	2021	Variación interperiódica	-9
La Guancha	2021	Variación anual	-9
La Guancha	2021	Tasa variación anual	-30.00
La Guancha	2021	Dato	21
Guía de Isora	2021	Tasa variación interperiódica	-242.11
Guía de Isora	2021	Variación interperiódica	-506
Guía de Isora	2021	Variación anual	-506
Guía de Isora	2021	Tasa variación anual	-242.11
Guía de Isora	2021	Dato	-297
Güímar	2021	Tasa variación interperiódica	-64.94
Güímar	2021	Variación interperiódica	-113
Güímar	2021	Variación anual	-113
Güímar	2021	Tasa variación anual	-64.94
Güímar	2021	Dato	61
Icod de los Vinos	2021	Tasa variación interperiódica	5.36
Icod de los Vinos	2021	Variación interperiódica	9
Icod de los Vinos	2021	Variación anual	9
Icod de los Vinos	2021	Tasa variación anual	5.36
Icod de los Vinos	2021	Dato	177
La Matanza de Acentejo	2021	Tasa variación interperiódica	-138.89
La Matanza de Acentejo	2021	Variación interperiódica	-100
La Matanza de Acentejo	2021	Variación anual	-100
La Matanza de Acentejo	2021	Tasa variación anual	-138.89
La Matanza de Acentejo	2021	Dato	-28
La Orotava	2021	Tasa variación interperiódica	139.55
