GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2023 Cuarto trimestre	Variación anual	150
Adeje	2023 Cuarto trimestre	Variación interperiódica	76
Adeje	2023 Cuarto trimestre	Tasa variación interperiódica	1.80
Adeje	2023 Cuarto trimestre	Dato	4290
Adeje	2023 Cuarto trimestre	Tasa variación anual	3.62
Arafo	2023 Cuarto trimestre	Variación anual	65
Arafo	2023 Cuarto trimestre	Variación interperiódica	26
Arafo	2023 Cuarto trimestre	Tasa variación interperiódica	1.59
Arafo	2023 Cuarto trimestre	Dato	1664
Arafo	2023 Cuarto trimestre	Tasa variación anual	4.07
Arico	2023 Cuarto trimestre	Variación anual	4
Arico	2023 Cuarto trimestre	Variación interperiódica	6
Arico	2023 Cuarto trimestre	Tasa variación interperiódica	2.17
Arico	2023 Cuarto trimestre	Dato	282
Arico	2023 Cuarto trimestre	Tasa variación anual	1.44
Arona	2023 Cuarto trimestre	Variación anual	-6
Arona	2023 Cuarto trimestre	Variación interperiódica	42
Arona	2023 Cuarto trimestre	Tasa variación interperiódica	0.84
Arona	2023 Cuarto trimestre	Dato	5065
Arona	2023 Cuarto trimestre	Tasa variación anual	-0.12
Buenavista del Norte	2023 Cuarto trimestre	Variación anual	-11
Buenavista del Norte	2023 Cuarto trimestre	Variación interperiódica	0
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación interperiódica	0.00
Buenavista del Norte	2023 Cuarto trimestre	Dato	113
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación anual	-8.87
Candelaria	2023 Cuarto trimestre	Variación anual	15
Candelaria	2023 Cuarto trimestre	Variación interperiódica	-32
Candelaria	2023 Cuarto trimestre	Tasa variación interperiódica	-2.44
Candelaria	2023 Cuarto trimestre	Dato	1282
Candelaria	2023 Cuarto trimestre	Tasa variación anual	1.18
Fasnia	2023 Cuarto trimestre	Variación anual	12
Fasnia	2023 Cuarto trimestre	Variación interperiódica	1
Fasnia	2023 Cuarto trimestre	Tasa variación interperiódica	0.69
Fasnia	2023 Cuarto trimestre	Dato	146
Fasnia	2023 Cuarto trimestre	Tasa variación anual	8.96
Garachico	2023 Cuarto trimestre	Variación anual	-3
Garachico	2023 Cuarto trimestre	Variación interperiódica	0
Garachico	2023 Cuarto trimestre	Tasa variación interperiódica	0.00
Garachico	2023 Cuarto trimestre	Dato	134
Garachico	2023 Cuarto trimestre	Tasa variación anual	-2.19
Granadilla de Abona	2023 Cuarto trimestre	Variación anual	42
Granadilla de Abona	2023 Cuarto trimestre	Variación interperiódica	90
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	4.55
Granadilla de Abona	2023 Cuarto trimestre	Dato	2070
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación anual	2.07
La Guancha	2023 Cuarto trimestre	Variación anual	-8
La Guancha	2023 Cuarto trimestre	Variación interperiódica	0
La Guancha	2023 Cuarto trimestre	Tasa variación interperiódica	0.00
La Guancha	2023 Cuarto trimestre	Dato	259
La Guancha	2023 Cuarto trimestre	Tasa variación anual	-3.00
Guía de Isora	2023 Cuarto trimestre	Variación anual	-5
Guía de Isora	2023 Cuarto trimestre	Variación interperiódica	-9
Guía de Isora	2023 Cuarto trimestre	Tasa variación interperiódica	-1.18
Guía de Isora	2023 Cuarto trimestre	Dato	755
Guía de Isora	2023 Cuarto trimestre	Tasa variación anual	-0.66
Güímar	2023 Cuarto trimestre	Variación anual	42
Güímar	2023 Cuarto trimestre	Variación interperiódica	49
Güímar	2023 Cuarto trimestre	Tasa variación interperiódica	2.37
Güímar	2023 Cuarto trimestre	Dato	2113
Güímar	2023 Cuarto trimestre	Tasa variación anual	2.03
Icod de los Vinos	2023 Cuarto trimestre	Variación anual	55
Icod de los Vinos	2023 Cuarto trimestre	Variación interperiódica	19
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación interperiódica	1.07
Icod de los Vinos	2023 Cuarto trimestre	Dato	1792
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación anual	3.17
La Matanza de Acentejo	2023 Cuarto trimestre	Variación anual	20
La Matanza de Acentejo	2023 Cuarto trimestre	Variación interperiódica	-9
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación interperiódica	-3.04
La Matanza de Acentejo	2023 Cuarto trimestre	Dato	287
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación anual	7.49
La Orotava	2023 Cuarto trimestre	Variación anual	198
La Orotava	2023 Cuarto trimestre	Variación interperiódica	279
La Orotava	2023 Cuarto trimestre	Tasa variación interperiódica	9.23
La Orotava	2023 Cuarto trimestre	Dato	3302
La Orotava	2023 Cuarto trimestre	Tasa variación anual	6.38
Puerto de La Cruz	2023 Cuarto trimestre	Variación anual	-35
Puerto de La Cruz	2023 Cuarto trimestre	Variación interperiódica	-37
Puerto de La Cruz	2023 Cuarto trimestre	Tasa variación interperiódica	-1.91
Puerto de La Cruz	2023 Cuarto trimestre	Dato	1898
Puerto de La Cruz	2023 Cuarto trimestre	Tasa variación anual	-1.81
Los Realejos	2023 Cuarto trimestre	Variación anual	30
Los Realejos	2023 Cuarto trimestre	Variación interperiódica	17
Los Realejos	2023 Cuarto trimestre	Tasa variación interperiódica	1.08
Los Realejos	2023 Cuarto trimestre	Dato	1598
Los Realejos	2023 Cuarto trimestre	Tasa variación anual	1.91
El Rosario	2023 Cuarto trimestre	Variación anual	70
El Rosario	2023 Cuarto trimestre	Variación interperiódica	40
El Rosario	2023 Cuarto trimestre	Tasa variación interperiódica	1.97
El Rosario	2023 Cuarto trimestre	Dato	2074
El Rosario	2023 Cuarto trimestre	Tasa variación anual	3.49
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación anual	348
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación interperiódica	253
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación interperiódica	2.09
San Cristóbal de La Laguna	2023 Cuarto trimestre	Dato	12332
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación anual	2.90
San Juan de la Rambla	2023 Cuarto trimestre	Variación anual	10
San Juan de la Rambla	2023 Cuarto trimestre	Variación interperiódica	6
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación interperiódica	3.77
San Juan de la Rambla	2023 Cuarto trimestre	Dato	165
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación anual	6.45
San Miguel de Abona	2023 Cuarto trimestre	Variación anual	128
San Miguel de Abona	2023 Cuarto trimestre	Variación interperiódica	40
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	1.78
San Miguel de Abona	2023 Cuarto trimestre	Dato	2287
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación anual	5.93
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación anual	809
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación interperiódica	1142
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación interperiódica	5.02
Santa Cruz de Tenerife	2023 Cuarto trimestre	Dato	23905
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación anual	3.50
Santa Úrsula	2023 Cuarto trimestre	Variación anual	1
Santa Úrsula	2023 Cuarto trimestre	Variación interperiódica	3
Santa Úrsula	2023 Cuarto trimestre	Tasa variación interperiódica	0.33
Santa Úrsula	2023 Cuarto trimestre	Dato	910
Santa Úrsula	2023 Cuarto trimestre	Tasa variación anual	0.11
Santiago del Teide	2023 Cuarto trimestre	Variación anual	14
Santiago del Teide	2023 Cuarto trimestre	Variación interperiódica	13
Santiago del Teide	2023 Cuarto trimestre	Tasa variación interperiódica	3.02
Santiago del Teide	2023 Cuarto trimestre	Dato	444
Santiago del Teide	2023 Cuarto trimestre	Tasa variación anual	3.26
El Sauzal	2023 Cuarto trimestre	Variación anual	-12
El Sauzal	2023 Cuarto trimestre	Variación interperiódica	5
El Sauzal	2023 Cuarto trimestre	Tasa variación interperiódica	1.74
