GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2024 Primer trimestre	Variación anual	128
Adeje	2024 Primer trimestre	Variación interperiódica	112
Adeje	2024 Primer trimestre	Tasa variación interperiódica	7.58
Adeje	2024 Primer trimestre	Dato	1589
Adeje	2024 Primer trimestre	Tasa variación anual	8.76
Arafo	2024 Primer trimestre	Variación anual	9
Arafo	2024 Primer trimestre	Variación interperiódica	10
Arafo	2024 Primer trimestre	Tasa variación interperiódica	4.37
Arafo	2024 Primer trimestre	Dato	239
Arafo	2024 Primer trimestre	Tasa variación anual	3.91
Arico	2024 Primer trimestre	Variación anual	7
Arico	2024 Primer trimestre	Variación interperiódica	3
Arico	2024 Primer trimestre	Tasa variación interperiódica	2.07
Arico	2024 Primer trimestre	Dato	148
Arico	2024 Primer trimestre	Tasa variación anual	4.96
Arona	2024 Primer trimestre	Variación anual	37
Arona	2024 Primer trimestre	Variación interperiódica	-50
Arona	2024 Primer trimestre	Tasa variación interperiódica	-2.14
Arona	2024 Primer trimestre	Dato	2282
Arona	2024 Primer trimestre	Tasa variación anual	1.65
Buenavista del Norte	2024 Primer trimestre	Variación anual	-7
Buenavista del Norte	2024 Primer trimestre	Variación interperiódica	0
Buenavista del Norte	2024 Primer trimestre	Tasa variación interperiódica	0.00
Buenavista del Norte	2024 Primer trimestre	Dato	43
Buenavista del Norte	2024 Primer trimestre	Tasa variación anual	-14.00
Candelaria	2024 Primer trimestre	Variación anual	-8
Candelaria	2024 Primer trimestre	Variación interperiódica	19
Candelaria	2024 Primer trimestre	Tasa variación interperiódica	2.95
Candelaria	2024 Primer trimestre	Dato	662
Candelaria	2024 Primer trimestre	Tasa variación anual	-1.19
Fasnia	2024 Primer trimestre	Variación anual	4
Fasnia	2024 Primer trimestre	Variación interperiódica	2
Fasnia	2024 Primer trimestre	Tasa variación interperiódica	4.35
Fasnia	2024 Primer trimestre	Dato	48
Fasnia	2024 Primer trimestre	Tasa variación anual	9.09
Garachico	2024 Primer trimestre	Variación anual	3
Garachico	2024 Primer trimestre	Variación interperiódica	-3
Garachico	2024 Primer trimestre	Tasa variación interperiódica	-4.05
Garachico	2024 Primer trimestre	Dato	71
Garachico	2024 Primer trimestre	Tasa variación anual	4.41
Granadilla de Abona	2024 Primer trimestre	Variación anual	16
Granadilla de Abona	2024 Primer trimestre	Variación interperiódica	39
Granadilla de Abona	2024 Primer trimestre	Tasa variación interperiódica	2.67
Granadilla de Abona	2024 Primer trimestre	Dato	1501
Granadilla de Abona	2024 Primer trimestre	Tasa variación anual	1.08
La Guancha	2024 Primer trimestre	Variación anual	7
La Guancha	2024 Primer trimestre	Variación interperiódica	-1
La Guancha	2024 Primer trimestre	Tasa variación interperiódica	-0.79
La Guancha	2024 Primer trimestre	Dato	125
La Guancha	2024 Primer trimestre	Tasa variación anual	5.93
Guía de Isora	2024 Primer trimestre	Variación anual	44
Guía de Isora	2024 Primer trimestre	Variación interperiódica	5
Guía de Isora	2024 Primer trimestre	Tasa variación interperiódica	1.09
Guía de Isora	2024 Primer trimestre	Dato	464
Guía de Isora	2024 Primer trimestre	Tasa variación anual	10.48
Güímar	2024 Primer trimestre	Variación anual	35
Güímar	2024 Primer trimestre	Variación interperiódica	2
Güímar	2024 Primer trimestre	Tasa variación interperiódica	0.35
Güímar	2024 Primer trimestre	Dato	573
Güímar	2024 Primer trimestre	Tasa variación anual	6.51
Icod de los Vinos	2024 Primer trimestre	Variación anual	58
Icod de los Vinos	2024 Primer trimestre	Variación interperiódica	6
Icod de los Vinos	2024 Primer trimestre	Tasa variación interperiódica	0.92
Icod de los Vinos	2024 Primer trimestre	Dato	657
Icod de los Vinos	2024 Primer trimestre	Tasa variación anual	9.68
La Matanza de Acentejo	2024 Primer trimestre	Variación anual	-13
La Matanza de Acentejo	2024 Primer trimestre	Variación interperiódica	-4
La Matanza de Acentejo	2024 Primer trimestre	Tasa variación interperiódica	-1.49
La Matanza de Acentejo	2024 Primer trimestre	Dato	264
La Matanza de Acentejo	2024 Primer trimestre	Tasa variación anual	-4.69
La Orotava	2024 Primer trimestre	Variación anual	-18
La Orotava	2024 Primer trimestre	Variación interperiódica	-16
La Orotava	2024 Primer trimestre	Tasa variación interperiódica	-1.08
La Orotava	2024 Primer trimestre	Dato	1469
La Orotava	2024 Primer trimestre	Tasa variación anual	-1.21
Puerto de la Cruz	2024 Primer trimestre	Variación anual	65
Puerto de la Cruz	2024 Primer trimestre	Variación interperiódica	16
Puerto de la Cruz	2024 Primer trimestre	Tasa variación interperiódica	3.23
Puerto de la Cruz	2024 Primer trimestre	Dato	512
Puerto de la Cruz	2024 Primer trimestre	Tasa variación anual	14.54
Los Realejos	2024 Primer trimestre	Variación anual	47
Los Realejos	2024 Primer trimestre	Variación interperiódica	6
Los Realejos	2024 Primer trimestre	Tasa variación interperiódica	0.63
Los Realejos	2024 Primer trimestre	Dato	956
Los Realejos	2024 Primer trimestre	Tasa variación anual	5.17
El Rosario	2024 Primer trimestre	Variación anual	-8
El Rosario	2024 Primer trimestre	Variación interperiódica	16
El Rosario	2024 Primer trimestre	Tasa variación interperiódica	1.98
El Rosario	2024 Primer trimestre	Dato	825
El Rosario	2024 Primer trimestre	Tasa variación anual	-0.96
San Cristóbal de La Laguna	2024 Primer trimestre	Variación anual	-296
San Cristóbal de La Laguna	2024 Primer trimestre	Variación interperiódica	-461
San Cristóbal de La Laguna	2024 Primer trimestre	Tasa variación interperiódica	-9.50
San Cristóbal de La Laguna	2024 Primer trimestre	Dato	4392
San Cristóbal de La Laguna	2024 Primer trimestre	Tasa variación anual	-6.31
San Juan de la Rambla	2024 Primer trimestre	Variación anual	-5
San Juan de la Rambla	2024 Primer trimestre	Variación interperiódica	-7
San Juan de la Rambla	2024 Primer trimestre	Tasa variación interperiódica	-4.73
San Juan de la Rambla	2024 Primer trimestre	Dato	141
San Juan de la Rambla	2024 Primer trimestre	Tasa variación anual	-3.42
San Miguel de Abona	2024 Primer trimestre	Variación anual	23
San Miguel de Abona	2024 Primer trimestre	Variación interperiódica	32
San Miguel de Abona	2024 Primer trimestre	Tasa variación interperiódica	4.98
San Miguel de Abona	2024 Primer trimestre	Dato	674
San Miguel de Abona	2024 Primer trimestre	Tasa variación anual	3.53
