GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2023 Cuarto trimestre	Variación anual	1539
Adeje	2023 Cuarto trimestre	Variación interperiódica	619
Adeje	2023 Cuarto trimestre	Tasa variación interperiódica	3.20
Adeje	2023 Cuarto trimestre	Dato	19974
Adeje	2023 Cuarto trimestre	Tasa variación anual	8.35
Arafo	2023 Cuarto trimestre	Variación anual	-8
Arafo	2023 Cuarto trimestre	Variación interperiódica	-3
Arafo	2023 Cuarto trimestre	Tasa variación interperiódica	-0.77
Arafo	2023 Cuarto trimestre	Dato	387
Arafo	2023 Cuarto trimestre	Tasa variación anual	-2.03
Arico	2023 Cuarto trimestre	Variación anual	-6
Arico	2023 Cuarto trimestre	Variación interperiódica	-3
Arico	2023 Cuarto trimestre	Tasa variación interperiódica	-1.07
Arico	2023 Cuarto trimestre	Dato	277
Arico	2023 Cuarto trimestre	Tasa variación anual	-2.12
Arona	2023 Cuarto trimestre	Variación anual	468
Arona	2023 Cuarto trimestre	Variación interperiódica	244
Arona	2023 Cuarto trimestre	Tasa variación interperiódica	1.98
Arona	2023 Cuarto trimestre	Dato	12580
Arona	2023 Cuarto trimestre	Tasa variación anual	3.86
Buenavista del Norte	2023 Cuarto trimestre	Variación anual	5
Buenavista del Norte	2023 Cuarto trimestre	Variación interperiódica	15
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación interperiódica	5.05
Buenavista del Norte	2023 Cuarto trimestre	Dato	312
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación anual	1.63
Candelaria	2023 Cuarto trimestre	Variación anual	14
Candelaria	2023 Cuarto trimestre	Variación interperiódica	11
Candelaria	2023 Cuarto trimestre	Tasa variación interperiódica	1.06
Candelaria	2023 Cuarto trimestre	Dato	1051
Candelaria	2023 Cuarto trimestre	Tasa variación anual	1.35
Fasnia	2023 Cuarto trimestre	Variación anual	-1
Fasnia	2023 Cuarto trimestre	Variación interperiódica	-4
Fasnia	2023 Cuarto trimestre	Tasa variación interperiódica	-5.88
Fasnia	2023 Cuarto trimestre	Dato	64
Fasnia	2023 Cuarto trimestre	Tasa variación anual	-1.54
Garachico	2023 Cuarto trimestre	Variación anual	-7
Garachico	2023 Cuarto trimestre	Variación interperiódica	-2
Garachico	2023 Cuarto trimestre	Tasa variación interperiódica	-0.59
Garachico	2023 Cuarto trimestre	Dato	335
Garachico	2023 Cuarto trimestre	Tasa variación anual	-2.05
Granadilla de Abona	2023 Cuarto trimestre	Variación anual	156
Granadilla de Abona	2023 Cuarto trimestre	Variación interperiódica	73
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	3.74
Granadilla de Abona	2023 Cuarto trimestre	Dato	2025
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación anual	8.35
La Guancha	2023 Cuarto trimestre	Variación anual	12
La Guancha	2023 Cuarto trimestre	Variación interperiódica	0
La Guancha	2023 Cuarto trimestre	Tasa variación interperiódica	0.00
