GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2023 Cuarto trimestre	Variación anual	2062
Adeje	2023 Cuarto trimestre	Variación interperiódica	858
Adeje	2023 Cuarto trimestre	Tasa variación interperiódica	2.63
Adeje	2023 Cuarto trimestre	Dato	33509
Adeje	2023 Cuarto trimestre	Tasa variación anual	6.56
Arafo	2023 Cuarto trimestre	Variación anual	319
Arafo	2023 Cuarto trimestre	Variación interperiódica	143
Arafo	2023 Cuarto trimestre	Tasa variación interperiódica	4.67
Arafo	2023 Cuarto trimestre	Dato	3202
Arafo	2023 Cuarto trimestre	Tasa variación anual	11.06
Arico	2023 Cuarto trimestre	Variación anual	-11
Arico	2023 Cuarto trimestre	Variación interperiódica	9
Arico	2023 Cuarto trimestre	Tasa variación interperiódica	0.82
Arico	2023 Cuarto trimestre	Dato	1113
Arico	2023 Cuarto trimestre	Tasa variación anual	-0.98
Arona	2023 Cuarto trimestre	Variación anual	1171
Arona	2023 Cuarto trimestre	Variación interperiódica	537
Arona	2023 Cuarto trimestre	Tasa variación interperiódica	1.90
Arona	2023 Cuarto trimestre	Dato	28739
Arona	2023 Cuarto trimestre	Tasa variación anual	4.25
Buenavista del Norte	2023 Cuarto trimestre	Variación anual	-1
Buenavista del Norte	2023 Cuarto trimestre	Variación interperiódica	26
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación interperiódica	2.90
Buenavista del Norte	2023 Cuarto trimestre	Dato	922
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación anual	-0.11
Candelaria	2023 Cuarto trimestre	Variación anual	131
Candelaria	2023 Cuarto trimestre	Variación interperiódica	62
Candelaria	2023 Cuarto trimestre	Tasa variación interperiódica	1.01
Candelaria	2023 Cuarto trimestre	Dato	6222
Candelaria	2023 Cuarto trimestre	Tasa variación anual	2.15
Fasnia	2023 Cuarto trimestre	Variación anual	18
Fasnia	2023 Cuarto trimestre	Variación interperiódica	-7
Fasnia	2023 Cuarto trimestre	Tasa variación interperiódica	-1.77
Fasnia	2023 Cuarto trimestre	Dato	388
Fasnia	2023 Cuarto trimestre	Tasa variación anual	4.86
Garachico	2023 Cuarto trimestre	Variación anual	-11
Garachico	2023 Cuarto trimestre	Variación interperiódica	25
Garachico	2023 Cuarto trimestre	Tasa variación interperiódica	2.74
Garachico	2023 Cuarto trimestre	Dato	936
Garachico	2023 Cuarto trimestre	Tasa variación anual	-1.16
Granadilla de Abona	2023 Cuarto trimestre	Variación anual	847
Granadilla de Abona	2023 Cuarto trimestre	Variación interperiódica	571
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	4.96
Granadilla de Abona	2023 Cuarto trimestre	Dato	12085
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación anual	7.54
La Guancha	2023 Cuarto trimestre	Variación anual	4
La Guancha	2023 Cuarto trimestre	Variación interperiódica	6
La Guancha	2023 Cuarto trimestre	Tasa variación interperiódica	0.67
La Guancha	2023 Cuarto trimestre	Dato	897
La Guancha	2023 Cuarto trimestre	Tasa variación anual	0.45
Guía de Isora	2023 Cuarto trimestre	Variación anual	265
Guía de Isora	2023 Cuarto trimestre	Variación interperiódica	234
Guía de Isora	2023 Cuarto trimestre	Tasa variación interperiódica	4.35
Guía de Isora	2023 Cuarto trimestre	Dato	5610
Guía de Isora	2023 Cuarto trimestre	Tasa variación anual	4.96
Güímar	2023 Cuarto trimestre	Variación anual	221
Güímar	2023 Cuarto trimestre	Variación interperiódica	146
Güímar	2023 Cuarto trimestre	Tasa variación interperiódica	3.06
Güímar	2023 Cuarto trimestre	Dato	4911
Güímar	2023 Cuarto trimestre	Tasa variación anual	4.71
Icod de los Vinos	2023 Cuarto trimestre	Variación anual	202
Icod de los Vinos	2023 Cuarto trimestre	Variación interperiódica	200
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación interperiódica	4.97
Icod de los Vinos	2023 Cuarto trimestre	Dato	4221
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación anual	5.03
La Matanza de Acentejo	2023 Cuarto trimestre	Variación anual	66
La Matanza de Acentejo	2023 Cuarto trimestre	Variación interperiódica	9
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación interperiódica	0.54
La Matanza de Acentejo	2023 Cuarto trimestre	Dato	1689
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación anual	4.07
La Orotava	2023 Cuarto trimestre	Variación anual	367
La Orotava	2023 Cuarto trimestre	Variación interperiódica	548
La Orotava	2023 Cuarto trimestre	Tasa variación interperiódica	5.85
La Orotava	2023 Cuarto trimestre	Dato	9923
La Orotava	2023 Cuarto trimestre	Tasa variación anual	3.84
Puerto de La Cruz	2023 Cuarto trimestre	Variación anual	670
Puerto de La Cruz	2023 Cuarto trimestre	Variación interperiódica	-75
Puerto de La Cruz	2023 Cuarto trimestre	Tasa variación interperiódica	-0.56
Puerto de La Cruz	2023 Cuarto trimestre	Dato	13404
Puerto de La Cruz	2023 Cuarto trimestre	Tasa variación anual	5.26
Los Realejos	2023 Cuarto trimestre	Variación anual	270
Los Realejos	2023 Cuarto trimestre	Variación interperiódica	144
Los Realejos	2023 Cuarto trimestre	Tasa variación interperiódica	2.44
Los Realejos	2023 Cuarto trimestre	Dato	6047
Los Realejos	2023 Cuarto trimestre	Tasa variación anual	4.67
El Rosario	2023 Cuarto trimestre	Variación anual	41
El Rosario	2023 Cuarto trimestre	Variación interperiódica	-5
El Rosario	2023 Cuarto trimestre	Tasa variación interperiódica	-0.09
El Rosario	2023 Cuarto trimestre	Dato	5541
El Rosario	2023 Cuarto trimestre	Tasa variación anual	0.75
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación anual	2881
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación interperiódica	1394
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación interperiódica	2.42
San Cristóbal de La Laguna	2023 Cuarto trimestre	Dato	58981
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación anual	5.14
San Juan de la Rambla	2023 Cuarto trimestre	Variación anual	23
San Juan de la Rambla	2023 Cuarto trimestre	Variación interperiódica	22
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación interperiódica	3.57
San Juan de la Rambla	2023 Cuarto trimestre	Dato	639
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación anual	3.73
San Miguel de Abona	2023 Cuarto trimestre	Variación anual	559
San Miguel de Abona	2023 Cuarto trimestre	Variación interperiódica	64
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	0.80
San Miguel de Abona	2023 Cuarto trimestre	Dato	8066
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación anual	7.45
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación anual	4156
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación interperiódica	2175
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación interperiódica	1.67
Santa Cruz de Tenerife	2023 Cuarto trimestre	Dato	132252
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación anual	3.24
Santa Úrsula	2023 Cuarto trimestre	Variación anual	-2
Santa Úrsula	2023 Cuarto trimestre	Variación interperiódica	71
Santa Úrsula	2023 Cuarto trimestre	Tasa variación interperiódica	2.39
Santa Úrsula	2023 Cuarto trimestre	Dato	3037
Santa Úrsula	2023 Cuarto trimestre	Tasa variación anual	-0.07
Santiago del Teide	2023 Cuarto trimestre	Variación anual	250
Santiago del Teide	2023 Cuarto trimestre	Variación interperiódica	32
Santiago del Teide	2023 Cuarto trimestre	Tasa variación interperiódica	0.90
Santiago del Teide	2023 Cuarto trimestre	Dato	3578
Santiago del Teide	2023 Cuarto trimestre	Tasa variación anual	7.51
El Sauzal	2023 Cuarto trimestre	Variación anual	88
El Sauzal	2023 Cuarto trimestre	Variación interperiódica	81
El Sauzal	2023 Cuarto trimestre	Tasa variación interperiódica	5.05
El Sauzal	2023 Cuarto trimestre	Dato	1685
El Sauzal	2023 Cuarto trimestre	Tasa variación anual	5.51
Los Silos	2023 Cuarto trimestre	Variación anual	9
Los Silos	2023 Cuarto trimestre	Variación interperiódica	29
Los Silos	2023 Cuarto trimestre	Tasa variación interperiódica	4.87
Los Silos	2023 Cuarto trimestre	Dato	624
Los Silos	2023 Cuarto trimestre	Tasa variación anual	1.46
Tacoronte	2023 Cuarto trimestre	Variación anual	-121
Tacoronte	2023 Cuarto trimestre	Variación interperiódica	-182
Tacoronte	2023 Cuarto trimestre	Tasa variación interperiódica	-3.48
Tacoronte	2023 Cuarto trimestre	Dato	5045
Tacoronte	2023 Cuarto trimestre	Tasa variación anual	-2.34
El Tanque	2023 Cuarto trimestre	Variación anual	-29
El Tanque	2023 Cuarto trimestre	Variación interperiódica	-16
El Tanque	2023 Cuarto trimestre	Tasa variación interperiódica	-4.51
El Tanque	2023 Cuarto trimestre	Dato	339
El Tanque	2023 Cuarto trimestre	Tasa variación anual	-7.88
Tegueste	2023 Cuarto trimestre	Variación anual	15
Tegueste	2023 Cuarto trimestre	Variación interperiódica	36
Tegueste	2023 Cuarto trimestre	Tasa variación interperiódica	1.95
Tegueste	2023 Cuarto trimestre	Dato	1883
Tegueste	2023 Cuarto trimestre	Tasa variación anual	0.80
La Victoria de Acentejo	2023 Cuarto trimestre	Variación anual	-22
La Victoria de Acentejo	2023 Cuarto trimestre	Variación interperiódica	25
La Victoria de Acentejo	2023 Cuarto trimestre	Tasa variación interperiódica	1.74
La Victoria de Acentejo	2023 Cuarto trimestre	Dato	1462
La Victoria de Acentejo	2023 Cuarto trimestre	Tasa variación anual	-1.48
Vilaflor de Chasna	2023 Cuarto trimestre	Variación anual	-4
Vilaflor de Chasna	2023 Cuarto trimestre	Variación interperiódica	14
Vilaflor de Chasna	2023 Cuarto trimestre	Tasa variación interperiódica	3.44
Vilaflor de Chasna	2023 Cuarto trimestre	Dato	421
Vilaflor de Chasna	2023 Cuarto trimestre	Tasa variación anual	-0.94
Adeje	2023 Tercer trimestre	Variación anual	2252
Adeje	2023 Tercer trimestre	Variación interperiódica	498
Adeje	2023 Tercer trimestre	Tasa variación interperiódica	1.55
Adeje	2023 Tercer trimestre	Dato	32651
Adeje	2023 Tercer trimestre	Tasa variación anual	7.41
Arafo	2023 Tercer trimestre	Variación anual	219
Arafo	2023 Tercer trimestre	Variación interperiódica	172
Arafo	2023 Tercer trimestre	Tasa variación interperiódica	5.96
Arafo	2023 Tercer trimestre	Dato	3059
Arafo	2023 Tercer trimestre	Tasa variación anual	7.71
Arico	2023 Tercer trimestre	Variación anual	5
Arico	2023 Tercer trimestre	Variación interperiódica	19
Arico	2023 Tercer trimestre	Tasa variación interperiódica	1.75
Arico	2023 Tercer trimestre	Dato	1104
Arico	2023 Tercer trimestre	Tasa variación anual	0.45
Arona	2023 Tercer trimestre	Variación anual	1387
Arona	2023 Tercer trimestre	Variación interperiódica	394
Arona	2023 Tercer trimestre	Tasa variación interperiódica	1.42
Arona	2023 Tercer trimestre	Dato	28202
Arona	2023 Tercer trimestre	Tasa variación anual	5.17
Buenavista del Norte	2023 Tercer trimestre	Variación anual	18
