GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2023 Cuarto trimestre	Variación anual	2187
Adeje	2023 Cuarto trimestre	Variación interperiódica	788
Adeje	2023 Cuarto trimestre	Tasa variación interperiódica	2.25
Adeje	2023 Cuarto trimestre	Dato	35756
Adeje	2023 Cuarto trimestre	Tasa variación anual	6.51
Arafo	2023 Cuarto trimestre	Variación anual	357
Arafo	2023 Cuarto trimestre	Variación interperiódica	153
Arafo	2023 Cuarto trimestre	Tasa variación interperiódica	3.87
Arafo	2023 Cuarto trimestre	Dato	4111
Arafo	2023 Cuarto trimestre	Tasa variación anual	9.51
Arico	2023 Cuarto trimestre	Variación anual	28
Arico	2023 Cuarto trimestre	Variación interperiódica	33
Arico	2023 Cuarto trimestre	Tasa variación interperiódica	1.64
Arico	2023 Cuarto trimestre	Dato	2040
Arico	2023 Cuarto trimestre	Tasa variación anual	1.39
Arona	2023 Cuarto trimestre	Variación anual	1417
Arona	2023 Cuarto trimestre	Variación interperiódica	497
Arona	2023 Cuarto trimestre	Tasa variación interperiódica	1.54
Arona	2023 Cuarto trimestre	Dato	32828
Arona	2023 Cuarto trimestre	Tasa variación anual	4.51
Buenavista del Norte	2023 Cuarto trimestre	Variación anual	-22
Buenavista del Norte	2023 Cuarto trimestre	Variación interperiódica	20
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación interperiódica	1.54
Buenavista del Norte	2023 Cuarto trimestre	Dato	1321
Buenavista del Norte	2023 Cuarto trimestre	Tasa variación anual	-1.64
Candelaria	2023 Cuarto trimestre	Variación anual	139
Candelaria	2023 Cuarto trimestre	Variación interperiódica	44
Candelaria	2023 Cuarto trimestre	Tasa variación interperiódica	0.59
Candelaria	2023 Cuarto trimestre	Dato	7442
Candelaria	2023 Cuarto trimestre	Tasa variación anual	1.90
Fasnia	2023 Cuarto trimestre	Variación anual	19
Fasnia	2023 Cuarto trimestre	Variación interperiódica	-10
Fasnia	2023 Cuarto trimestre	Tasa variación interperiódica	-1.96
Fasnia	2023 Cuarto trimestre	Dato	500
Fasnia	2023 Cuarto trimestre	Tasa variación anual	3.95
Garachico	2023 Cuarto trimestre	Variación anual	-15
Garachico	2023 Cuarto trimestre	Variación interperiódica	23
Garachico	2023 Cuarto trimestre	Tasa variación interperiódica	1.93
Garachico	2023 Cuarto trimestre	Dato	1212
Garachico	2023 Cuarto trimestre	Tasa variación anual	-1.22
Granadilla de Abona	2023 Cuarto trimestre	Variación anual	976
Granadilla de Abona	2023 Cuarto trimestre	Variación interperiódica	542
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	3.69
Granadilla de Abona	2023 Cuarto trimestre	Dato	15247
Granadilla de Abona	2023 Cuarto trimestre	Tasa variación anual	6.84
La Guancha	2023 Cuarto trimestre	Variación anual	6
La Guancha	2023 Cuarto trimestre	Variación interperiódica	5
La Guancha	2023 Cuarto trimestre	Tasa variación interperiódica	0.42
La Guancha	2023 Cuarto trimestre	Dato	1185
La Guancha	2023 Cuarto trimestre	Tasa variación anual	0.51
Guía de Isora	2023 Cuarto trimestre	Variación anual	315
Guía de Isora	2023 Cuarto trimestre	Variación interperiódica	270
Guía de Isora	2023 Cuarto trimestre	Tasa variación interperiódica	3.60
Guía de Isora	2023 Cuarto trimestre	Dato	7772
Guía de Isora	2023 Cuarto trimestre	Tasa variación anual	4.22
Güímar	2023 Cuarto trimestre	Variación anual	266
Güímar	2023 Cuarto trimestre	Variación interperiódica	151
Güímar	2023 Cuarto trimestre	Tasa variación interperiódica	2.48
Güímar	2023 Cuarto trimestre	Dato	6228
Güímar	2023 Cuarto trimestre	Tasa variación anual	4.46
Icod de los Vinos	2023 Cuarto trimestre	Variación anual	244
Icod de los Vinos	2023 Cuarto trimestre	Variación interperiódica	169
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación interperiódica	3.10
Icod de los Vinos	2023 Cuarto trimestre	Dato	5619
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación anual	4.54
La Matanza de Acentejo	2023 Cuarto trimestre	Variación anual	90
La Matanza de Acentejo	2023 Cuarto trimestre	Variación interperiódica	19
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación interperiódica	0.91
La Matanza de Acentejo	2023 Cuarto trimestre	Dato	2109
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación anual	4.46
La Orotava	2023 Cuarto trimestre	Variación anual	438
La Orotava	2023 Cuarto trimestre	Variación interperiódica	532
La Orotava	2023 Cuarto trimestre	Tasa variación interperiódica	4.41
La Orotava	2023 Cuarto trimestre	Dato	12590
La Orotava	2023 Cuarto trimestre	Tasa variación anual	3.60
Puerto de la Cruz	2023 Cuarto trimestre	Variación anual	743
Puerto de la Cruz	2023 Cuarto trimestre	Variación interperiódica	-53
Puerto de la Cruz	2023 Cuarto trimestre	Tasa variación interperiódica	-0.37
Puerto de la Cruz	2023 Cuarto trimestre	Dato	14315
Puerto de la Cruz	2023 Cuarto trimestre	Tasa variación anual	5.47
Los Realejos	2023 Cuarto trimestre	Variación anual	384
Los Realejos	2023 Cuarto trimestre	Variación interperiódica	194
Los Realejos	2023 Cuarto trimestre	Tasa variación interperiódica	2.52
Los Realejos	2023 Cuarto trimestre	Dato	7898
Los Realejos	2023 Cuarto trimestre	Tasa variación anual	5.11
El Rosario	2023 Cuarto trimestre	Variación anual	89
El Rosario	2023 Cuarto trimestre	Variación interperiódica	-31
El Rosario	2023 Cuarto trimestre	Tasa variación interperiódica	-0.40
El Rosario	2023 Cuarto trimestre	Dato	7749
El Rosario	2023 Cuarto trimestre	Tasa variación anual	1.16
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación anual	3155
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación interperiódica	1585
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación interperiódica	2.40
San Cristóbal de La Laguna	2023 Cuarto trimestre	Dato	67663
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación anual	4.89
San Juan de la Rambla	2023 Cuarto trimestre	Variación anual	20
San Juan de la Rambla	2023 Cuarto trimestre	Variación interperiódica	14
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación interperiódica	1.48
San Juan de la Rambla	2023 Cuarto trimestre	Dato	957
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación anual	2.13
San Miguel de Abona	2023 Cuarto trimestre	Variación anual	602
San Miguel de Abona	2023 Cuarto trimestre	Variación interperiódica	55
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	0.60
San Miguel de Abona	2023 Cuarto trimestre	Dato	9281
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación anual	6.94
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación anual	4678
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación interperiódica	1870
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación interperiódica	1.31
Santa Cruz de Tenerife	2023 Cuarto trimestre	Dato	144106
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación anual	3.36
Santa Úrsula	2023 Cuarto trimestre	Variación anual	4
Santa Úrsula	2023 Cuarto trimestre	Variación interperiódica	65
Santa Úrsula	2023 Cuarto trimestre	Tasa variación interperiódica	1.72
Santa Úrsula	2023 Cuarto trimestre	Dato	3854
Santa Úrsula	2023 Cuarto trimestre	Tasa variación anual	0.10
Santiago del Teide	2023 Cuarto trimestre	Variación anual	291
Santiago del Teide	2023 Cuarto trimestre	Variación interperiódica	55
Santiago del Teide	2023 Cuarto trimestre	Tasa variación interperiódica	1.36
Santiago del Teide	2023 Cuarto trimestre	Dato	4100
Santiago del Teide	2023 Cuarto trimestre	Tasa variación anual	7.64
El Sauzal	2023 Cuarto trimestre	Variación anual	79
El Sauzal	2023 Cuarto trimestre	Variación interperiódica	79
El Sauzal	2023 Cuarto trimestre	Tasa variación interperiódica	4.13
El Sauzal	2023 Cuarto trimestre	Dato	1993
El Sauzal	2023 Cuarto trimestre	Tasa variación anual	4.13
Los Silos	2023 Cuarto trimestre	Variación anual	22
Los Silos	2023 Cuarto trimestre	Variación interperiódica	34
Los Silos	2023 Cuarto trimestre	Tasa variación interperiódica	3.11
Los Silos	2023 Cuarto trimestre	Dato	1128
Los Silos	2023 Cuarto trimestre	Tasa variación anual	1.99
Tacoronte	2023 Cuarto trimestre	Variación anual	-44
