GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Adeje	2024 Abril	Variación anual	-269
Adeje	2024 Abril	Variación interperiódica	80
Adeje	2024 Abril	Tasa variación interperiódica	4.09
Adeje	2024 Abril	Dato	2038
Adeje	2024 Abril	Tasa variación anual	-11.66
Arafo	2024 Abril	Variación anual	-37
Arafo	2024 Abril	Variación interperiódica	2
Arafo	2024 Abril	Tasa variación interperiódica	0.45
Arafo	2024 Abril	Dato	445
Arafo	2024 Abril	Tasa variación anual	-7.68
Arico	2024 Abril	Variación anual	-4
Arico	2024 Abril	Variación interperiódica	30
Arico	2024 Abril	Tasa variación interperiódica	4.69
Arico	2024 Abril	Dato	670
Arico	2024 Abril	Tasa variación anual	-0.59
Arona	2024 Abril	Variación anual	-604
Arona	2024 Abril	Variación interperiódica	138
Arona	2024 Abril	Tasa variación interperiódica	2.78
Arona	2024 Abril	Dato	5103
Arona	2024 Abril	Tasa variación anual	-10.58
Buenavista del Norte	2024 Abril	Variación anual	-63
Buenavista del Norte	2024 Abril	Variación interperiódica	-5
Buenavista del Norte	2024 Abril	Tasa variación interperiódica	-1.38
Buenavista del Norte	2024 Abril	Dato	357
Buenavista del Norte	2024 Abril	Tasa variación anual	-15.00
Candelaria	2024 Abril	Variación anual	-80
Candelaria	2024 Abril	Variación interperiódica	-6
Candelaria	2024 Abril	Tasa variación interperiódica	-0.33
Candelaria	2024 Abril	Dato	1810
Candelaria	2024 Abril	Tasa variación anual	-4.23
Fasnia	2024 Abril	Variación anual	-25
Fasnia	2024 Abril	Variación interperiódica	-3
Fasnia	2024 Abril	Tasa variación interperiódica	-1.46
Fasnia	2024 Abril	Dato	203
Fasnia	2024 Abril	Tasa variación anual	-10.96
Garachico	2024 Abril	Variación anual	-26
Garachico	2024 Abril	Variación interperiódica	14
Garachico	2024 Abril	Tasa variación interperiódica	4.07
Garachico	2024 Abril	Dato	358
Garachico	2024 Abril	Tasa variación anual	-6.77
Granadilla de Abona	2024 Abril	Variación anual	-256
Granadilla de Abona	2024 Abril	Variación interperiódica	122
Granadilla de Abona	2024 Abril	Tasa variación interperiódica	3.54
Granadilla de Abona	2024 Abril	Dato	3570
Granadilla de Abona	2024 Abril	Tasa variación anual	-6.69
La Guancha	2024 Abril	Variación anual	-23
La Guancha	2024 Abril	Variación interperiódica	6
La Guancha	2024 Abril	Tasa variación interperiódica	1.34
La Guancha	2024 Abril	Dato	453
La Guancha	2024 Abril	Tasa variación anual	-4.83
Guía de Isora	2024 Abril	Variación anual	-130
Guía de Isora	2024 Abril	Variación interperiódica	26
Guía de Isora	2024 Abril	Tasa variación interperiódica	2.29
Guía de Isora	2024 Abril	Dato	1159
Guía de Isora	2024 Abril	Tasa variación anual	-10.09
Güímar	2024 Abril	Variación anual	-133
Güímar	2024 Abril	Variación interperiódica	-34
Güímar	2024 Abril	Tasa variación interperiódica	-1.91
Güímar	2024 Abril	Dato	1742
Güímar	2024 Abril	Tasa variación anual	-7.09
Icod de los Vinos	2024 Abril	Variación anual	-149
Icod de los Vinos	2024 Abril	Variación interperiódica	-14
Icod de los Vinos	2024 Abril	Tasa variación interperiódica	-0.65
Icod de los Vinos	2024 Abril	Dato	2142
Icod de los Vinos	2024 Abril	Tasa variación anual	-6.50
La Matanza de Acentejo	2024 Abril	Variación anual	-59
La Matanza de Acentejo	2024 Abril	Variación interperiódica	-17
La Matanza de Acentejo	2024 Abril	Tasa variación interperiódica	-2.09
La Matanza de Acentejo	2024 Abril	Dato	795
La Matanza de Acentejo	2024 Abril	Tasa variación anual	-6.91
La Orotava	2024 Abril	Variación anual	-261
La Orotava	2024 Abril	Variación interperiódica	79
La Orotava	2024 Abril	Tasa variación interperiódica	2.26
La Orotava	2024 Abril	Dato	3582
La Orotava	2024 Abril	Tasa variación anual	-6.79
Puerto de La Cruz	2024 Abril	Variación anual	-263
Puerto de La Cruz	2024 Abril	Variación interperiódica	13
Puerto de La Cruz	2024 Abril	Tasa variación interperiódica	0.51
Puerto de La Cruz	2024 Abril	Dato	2556
Puerto de La Cruz	2024 Abril	Tasa variación anual	-9.33
Los Realejos	2024 Abril	Variación anual	-440
Los Realejos	2024 Abril	Variación interperiódica	4
Los Realejos	2024 Abril	Tasa variación interperiódica	0.12
Los Realejos	2024 Abril	Dato	3239
Los Realejos	2024 Abril	Tasa variación anual	-11.96
El Rosario	2024 Abril	Variación anual	-88
El Rosario	2024 Abril	Variación interperiódica	7
El Rosario	2024 Abril	Tasa variación interperiódica	0.70
El Rosario	2024 Abril	Dato	1013
El Rosario	2024 Abril	Tasa variación anual	-7.99
San Cristóbal de La Laguna	2024 Abril	Variación anual	-1140
San Cristóbal de La Laguna	2024 Abril	Variación interperiódica	72
San Cristóbal de La Laguna	2024 Abril	Tasa variación interperiódica	0.54
San Cristóbal de La Laguna	2024 Abril	Dato	13299
San Cristóbal de La Laguna	2024 Abril	Tasa variación anual	-7.90
San Juan de la Rambla	2024 Abril	Variación anual	-44
San Juan de la Rambla	2024 Abril	Variación interperiódica	18
San Juan de la Rambla	2024 Abril	Tasa variación interperiódica	4.89
San Juan de la Rambla	2024 Abril	Dato	386
San Juan de la Rambla	2024 Abril	Tasa variación anual	-10.23
San Miguel de Abona	2024 Abril	Variación anual	-51
San Miguel de Abona	2024 Abril	Variación interperiódica	11
San Miguel de Abona	2024 Abril	Tasa variación interperiódica	0.96
San Miguel de Abona	2024 Abril	Dato	1158
San Miguel de Abona	2024 Abril	Tasa variación anual	-4.22
Santa Cruz de Tenerife	2024 Abril	Variación anual	-1352
Santa Cruz de Tenerife	2024 Abril	Variación interperiódica	238
Santa Cruz de Tenerife	2024 Abril	Tasa variación interperiódica	1.29
Santa Cruz de Tenerife	2024 Abril	Dato	18664
Santa Cruz de Tenerife	2024 Abril	Tasa variación anual	-6.75
Santa Úrsula	2024 Abril	Variación anual	-74
Santa Úrsula	2024 Abril	Variación interperiódica	-4
Santa Úrsula	2024 Abril	Tasa variación interperiódica	-0.29
Santa Úrsula	2024 Abril	Dato	1366
Santa Úrsula	2024 Abril	Tasa variación anual	-5.14
Santiago del Teide	2024 Abril	Variación anual	-55
Santiago del Teide	2024 Abril	Variación interperiódica	-2
Santiago del Teide	2024 Abril	Tasa variación interperiódica	-0.43
Santiago del Teide	2024 Abril	Dato	461
Santiago del Teide	2024 Abril	Tasa variación anual	-10.66
El Sauzal	2024 Abril	Variación anual	-60
El Sauzal	2024 Abril	Variación interperiódica	1
El Sauzal	2024 Abril	Tasa variación interperiódica	0.15
El Sauzal	2024 Abril	Dato	670
El Sauzal	2024 Abril	Tasa variación anual	-8.22
Los Silos	2024 Abril	Variación anual	-12
Los Silos	2024 Abril	Variación interperiódica	13
