TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Adeje	2021	Renta bruta media por persona	10913		
Adeje	2020	Renta bruta media por persona	10042		
Adeje	2019	Renta bruta media por persona	11419		
Adeje	2018	Renta bruta media por persona	10785		
Adeje	2017	Renta bruta media por persona	10309		
Adeje	2016	Renta bruta media por persona	9591		
Adeje	2015	Renta bruta media por persona	9464		
Arafo	2021	Renta bruta media por persona	13598		
Arafo	2020	Renta bruta media por persona	13013		
Arafo	2019	Renta bruta media por persona	12783		
Arafo	2018	Renta bruta media por persona	12116		
Arafo	2017	Renta bruta media por persona	11285		
Arafo	2016	Renta bruta media por persona	11002		
Arafo	2015	Renta bruta media por persona	10587		
Arico	2021	Renta bruta media por persona	11663		
Arico	2020	Renta bruta media por persona	11243		
Arico	2019	Renta bruta media por persona	11491		
Arico	2018	Renta bruta media por persona	11005		
Arico	2017	Renta bruta media por persona	10485		
Arico	2016	Renta bruta media por persona	9502		
Arico	2015	Renta bruta media por persona	9692		
Arona	2021	Renta bruta media por persona	10114		
Arona	2020	Renta bruta media por persona	9434		
Arona	2019	Renta bruta media por persona	10330		
Arona	2018	Renta bruta media por persona	9718		
Arona	2017	Renta bruta media por persona	9246		
Arona	2016	Renta bruta media por persona	8313		
Arona	2015	Renta bruta media por persona	8342		
Buenavista del Norte	2021	Renta bruta media por persona	10609		
Buenavista del Norte	2020	Renta bruta media por persona	10075		
Buenavista del Norte	2019	Renta bruta media por persona	10184		
Buenavista del Norte	2018	Renta bruta media por persona	9670		
Buenavista del Norte	2017	Renta bruta media por persona	9194		
Buenavista del Norte	2016	Renta bruta media por persona	8625		
Buenavista del Norte	2015	Renta bruta media por persona	8495		
Candelaria	2021	Renta bruta media por persona	15778		
Candelaria	2020	Renta bruta media por persona	15002		
Candelaria	2019	Renta bruta media por persona	14752		
Candelaria	2018	Renta bruta media por persona	13987		
Candelaria	2017	Renta bruta media por persona	13239		
Candelaria	2016	Renta bruta media por persona	12694		
Candelaria	2015	Renta bruta media por persona	12430		
Fasnia	2021	Renta bruta media por persona	13731		
Fasnia	2020	Renta bruta media por persona	13225		
Fasnia	2019	Renta bruta media por persona	12891		
Fasnia	2018	Renta bruta media por persona	12300		
Fasnia	2017	Renta bruta media por persona	12306		
Fasnia	2016	Renta bruta media por persona	11911		
Fasnia	2015	Renta bruta media por persona	11544		
Garachico	2021	Renta bruta media por persona	11329		
Garachico	2020	Renta bruta media por persona	10790		
Garachico	2019	Renta bruta media por persona	10908		
Garachico	2018	Renta bruta media por persona	10437		
Garachico	2017	Renta bruta media por persona	9961		
Garachico	2016	Renta bruta media por persona	9608		
Garachico	2015	Renta bruta media por persona	9306		
Granadilla de Abona	2021	Renta bruta media por persona	10899		
Granadilla de Abona	2020	Renta bruta media por persona	10282		
Granadilla de Abona	2019	Renta bruta media por persona	10861		
Granadilla de Abona	2018	Renta bruta media por persona	10255		
Granadilla de Abona	2017	Renta bruta media por persona	9787		
Granadilla de Abona	2016	Renta bruta media por persona	8963		
Granadilla de Abona	2015	Renta bruta media por persona	8853		
La Guancha	2021	Renta bruta media por persona	11239		
La Guancha	2020	Renta bruta media por persona	10758		
La Guancha	2019	Renta bruta media por persona	10570		
La Guancha	2018	Renta bruta media por persona	9994		
La Guancha	2017	Renta bruta media por persona	9485		
La Guancha	2016	Renta bruta media por persona	8979		
La Guancha	2015	Renta bruta media por persona	8523		
Guía de Isora	2021	Renta bruta media por persona	10581		
Guía de Isora	2020	Renta bruta media por persona	10009		
Guía de Isora	2019	Renta bruta media por persona	10646		
Guía de Isora	2018	Renta bruta media por persona	10174		
Guía de Isora	2017	Renta bruta media por persona	9635		
Guía de Isora	2016	Renta bruta media por persona	8821		
Guía de Isora	2015	Renta bruta media por persona	8808		
Güímar	2021	Renta bruta media por persona	12730		
Güímar	2020	Renta bruta media por persona	12001		
Güímar	2019	Renta bruta media por persona	11909		
Güímar	2018	Renta bruta media por persona	11245		
Güímar	2017	Renta bruta media por persona	10670		
Güímar	2016	Renta bruta media por persona	10201		
Güímar	2015	Renta bruta media por persona	9930		
Icod de los Vinos	2021	Renta bruta media por persona	10569		
Icod de los Vinos	2020	Renta bruta media por persona	10023		
Icod de los Vinos	2019	Renta bruta media por persona	10194		
Icod de los Vinos	2018	Renta bruta media por persona	9510		
Icod de los Vinos	2017	Renta bruta media por persona	9139		
Icod de los Vinos	2016	Renta bruta media por persona	8653		
Icod de los Vinos	2015	Renta bruta media por persona	8311		
San Cristóbal de La Laguna	2021	Renta bruta media por persona	14316		
San Cristóbal de La Laguna	2020	Renta bruta media por persona	13603		
San Cristóbal de La Laguna	2019	Renta bruta media por persona	13438		
San Cristóbal de La Laguna	2018	Renta bruta media por persona	12717		
San Cristóbal de La Laguna	2017	Renta bruta media por persona	12088		
San Cristóbal de La Laguna	2016	Renta bruta media por persona	11657		
San Cristóbal de La Laguna	2015	Renta bruta media por persona	11316		
La Matanza de Acentejo	2021	Renta bruta media por persona	12078		
La Matanza de Acentejo	2020	Renta bruta media por persona	11310		
La Matanza de Acentejo	2019	Renta bruta media por persona	11551		
La Matanza de Acentejo	2018	Renta bruta media por persona	10680		
La Matanza de Acentejo	2017	Renta bruta media por persona	10082		
La Matanza de Acentejo	2016	Renta bruta media por persona	9247		
La Matanza de Acentejo	2015	Renta bruta media por persona	9031		
La Orotava	2021	Renta bruta media por persona	12143		
La Orotava	2020	Renta bruta media por persona	11361		
La Orotava	2019	Renta bruta media por persona	11438		
La Orotava	2018	Renta bruta media por persona	10843		
La Orotava	2017	Renta bruta media por persona	10252		
La Orotava	2016	Renta bruta media por persona	9745		
La Orotava	2015	Renta bruta media por persona	9424		
Puerto de la Cruz	2021	Renta bruta media por persona	13803		
Puerto de la Cruz	2020	Renta bruta media por persona	12951		
Puerto de la Cruz	2019	Renta bruta media por persona	13266		
Puerto de la Cruz	2018	Renta bruta media por persona	12442		
Puerto de la Cruz	2017	Renta bruta media por persona	11962		
Puerto de la Cruz	2016	Renta bruta media por persona	11306		
Puerto de la Cruz	2015	Renta bruta media por persona	11229		
Los Realejos	2021	Renta bruta media por persona	11132		
Los Realejos	2020	Renta bruta media por persona	10512		
Los Realejos	2019	Renta bruta media por persona	10628		
Los Realejos	2018	Renta bruta media por persona	10076		
Los Realejos	2017	Renta bruta media por persona	9378		
Los Realejos	2016	Renta bruta media por persona	8771		
Los Realejos	2015	Renta bruta media por persona	8462		
El Rosario	2021	Renta bruta media por persona	18266		
El Rosario	2020	Renta bruta media por persona	17459		
El Rosario	2019	Renta bruta media por persona	17426		
El Rosario	2018	Renta bruta media por persona	16254		
El Rosario	2017	Renta bruta media por persona	15463		
El Rosario	2016	Renta bruta media por persona	14740		
El Rosario	2015	Renta bruta media por persona	14422		
San Juan de la Rambla	2021	Renta bruta media por persona	11046		
San Juan de la Rambla	2020	Renta bruta media por persona	10664		
San Juan de la Rambla	2019	Renta bruta media por persona	10643		
San Juan de la Rambla	2018	Renta bruta media por persona	10017		
San Juan de la Rambla	2017	Renta bruta media por persona	9388		
San Juan de la Rambla	2016	Renta bruta media por persona	8758		
San Juan de la Rambla	2015	Renta bruta media por persona	8283		
San Miguel de Abona	2021	Renta bruta media por persona	10571		
San Miguel de Abona	2020	Renta bruta media por persona	9835		
San Miguel de Abona	2019	Renta bruta media por persona	10539		
San Miguel de Abona	2018	Renta bruta media por persona	10168		
San Miguel de Abona	2017	Renta bruta media por persona	9743		
San Miguel de Abona	2016	Renta bruta media por persona	8816		
San Miguel de Abona	2015	Renta bruta media por persona	9104		
Santa Cruz de Tenerife	2021	Renta bruta media por persona	15820		
Santa Cruz de Tenerife	2020	Renta bruta media por persona	15108		
Santa Cruz de Tenerife	2019	Renta bruta media por persona	15022		
Santa Cruz de Tenerife	2018	Renta bruta media por persona	14231		
Santa Cruz de Tenerife	2017	Renta bruta media por persona	13602		
Santa Cruz de Tenerife	2016	Renta bruta media por persona	13241		
Santa Cruz de Tenerife	2015	Renta bruta media por persona	12829		
Santa Úrsula	2021	Renta bruta media por persona	12471		
Santa Úrsula	2020	Renta bruta media por persona	11754		
Santa Úrsula	2019	Renta bruta media por persona	11735		
Santa Úrsula	2018	Renta bruta media por persona	11234		
Santa Úrsula	2017	Renta bruta media por persona	10609		
Santa Úrsula	2016	Renta bruta media por persona	9921		
Santa Úrsula	2015	Renta bruta media por persona	9475		
Santiago del Teide	2021	Renta bruta media por persona	10351		
Santiago del Teide	2020	Renta bruta media por persona	9308		
