MUNICIPIO;PRECIO_VENTA_M2;PRECIO_ALQUILER_M2;ANYO
Adeje;4463;16.0;2022
Adeje;3012;14.9;2021
Adeje;3655;13.6;2020
Adeje;3656;12.9;2019
Adeje;3656;12.4;2018
Adeje;3656;11.5;2017
Arafo;2294;9.2;2022
Arafo;2372;9.0;2021
Arafo;1821;9.1;2020
Arafo;1986;8.6;2019
Arafo;1631;7.7;2018
Arafo;1658;6.6;2017
Arico;1571;9.2;2022
Arico;1571;9.0;2021
Arico;1571;9.1;2020
Arico;1571;8.6;2019
Arico;1571;7.7;2018
Arico;1571;6.6;2017
Arona;2395;13.9;2022
Arona;2271;9.9;2021
Arona;2444;11.3;2020
Arona;2348;11.6;2019
Arona;2025;10.8;2018
Arona;1806;10.2;2017
Buenavista del Norte;2294;9.2;2022
Buenavista del Norte;2372;9.0;2021
Buenavista del Norte;1821;9.1;2020
Buenavista del Norte;1986;8.6;2019
Buenavista del Norte;1631;7.7;2018
Buenavista del Norte;1658;6.6;2017
Candelaria;2746;9.2;2022
Candelaria;2746;9.0;2021
Candelaria;2746;9.1;2020
Candelaria;2746;8.6;2019
Candelaria;2746;7.7;2018
Candelaria;2746;6.6;2017
Fasnia;2294;9.2;2022
Fasnia;2372;9.0;2021
Fasnia;1821;9.1;2020
Fasnia;1986;8.6;2019
Fasnia;1631;7.7;2018
Fasnia;1658;6.6;2017
Garachico;2294;9.2;2022
Garachico;2372;9.0;2021
Garachico;1821;9.1;2020
Garachico;1986;8.6;2019
Garachico;1631;7.7;2018
Garachico;1658;6.6;2017
Granadilla de Abona;2718;8.6;2022
Granadilla de Abona;1829;8.3;2021
Granadilla de Abona;3541;9.3;2020
Granadilla de Abona;1667;8.9;2019
Granadilla de Abona;2119;8.6;2018
Granadilla de Abona;2119;6.6;2017
La Guancha;2294;9.2;2022
La Guancha;2372;9.0;2021
La Guancha;1821;9.1;2020
La Guancha;1986;8.6;2019
La Guancha;1631;7.7;2018
La Guancha;1658;6.6;2017
Guía de Isora;2928;9.2;2022
Guía de Isora;6089;9.0;2021
Guía de Isora;1760;9.1;2020
Guía de Isora;1954;8.6;2019
Guía de Isora;1954;7.7;2018
Guía de Isora;1954;6.6;2017
Güímar;1739;8.6;2022
Güímar;1265;8.3;2021
Güímar;2100;8.2;2020
Güímar;547;7.5;2019
Güímar;547;7.5;2018
Güímar;547;6.8;2017
Icod de los Vinos;987;9.2;2022
Icod de los Vinos;1511;9.0;2021
Icod de los Vinos;984;9.1;2020
Icod de los Vinos;1449;8.6;2019
Icod de los Vinos;971;7.7;2018
Icod de los Vinos;971;6.6;2017
La Matanza de Acentejo;1097;9.2;2022
La Matanza de Acentejo;1097;9.0;2021
La Matanza de Acentejo;1097;9.1;2020
La Matanza de Acentejo;1097;8.6;2019
La Matanza de Acentejo;1097;7.7;2018
La Matanza de Acentejo;1097;6.6;2017
La Orotava;1403;6.5;2022
La Orotava;3620;6.9;2021
La Orotava;1654;6.6;2020
La Orotava;1654;6.7;2019
La Orotava;2926;5.5;2018
La Orotava;1667;4.9;2017
Puerto de la Cruz;2590;11.1;2022
Puerto de la Cruz;2339;10.7;2021
