actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
vivienda vacacional,1 Carpinteria VV,CL,Calle,Alcalde Juan Martin,2,38480.0,38010,Buenavista del Norte,Bajada Campo Futbol,,mesaelena@gmail.com,922129006.0,,-16.84519501,28.36954885,2017-09-21T12:45:56.519000,2018-02-08T12:36:45.855000
vivienda vacacional,108 VV,CL,Calle,Zeus,6,38630.0,38006,Arona,Costa del Silencio Rs Rocas de Mar Pl 1 PTA 108,,,629574410.0,,-16.64587721,28.00454305,2019-09-24T12:59:27.902000,2019-09-24T12:59:27.902000
vivienda vacacional,11- 2B VV,CL,Calle,San Francisco,5,38002.0,38038,Santa Cruz de Tenerife,Ed Santander Pl 11 Vd 2B,,,605310720.0,,-16.24919168,28.46719451,2016-05-09T12:45:15,2016-11-28T12:49:50
alojamiento extrahotelero,11 Holiday Homes,CL,Calle,San Miguel,75,38639.0,38035,San Miguel,Golf del Sur,,,,,-16.60157949,28.02687093,2019-03-20T07:55:20.658000,2019-03-20T07:55:20.658000
vivienda vacacional,1101 planta 11 VV,PZ,"Plaza, plazoleta",Candelaria,28,38003.0,38038,Santa Cruz de Tenerife,Ed Olympo Pl 11 Vd 1101,,,605310720.0,,-16.24824486,28.46652395,2017-03-24T13:31:21,2017-03-24T13:31:21
vivienda vacacional,116 VV,CL,Calle,Zeus,6,38630.0,38006,Arona,Costa del Silencio Rs Rocas de Mar Pl 1 PTA 116,,,629574410.0,,-16.64567511,28.0046088,2019-09-24T12:59:27.902000,2019-09-24T12:59:27.902000
vivienda vacacional,117 VV,CL,Calle,Zeus,6,38630.0,38006,Arona,Costa del Silencio Rs Rocas de Mar Pl 1 PTA 117,,,629574410.0,,-16.64575059,28.00459662,2019-09-24T12:59:27.902000,2019-09-24T12:59:27.902000
informador turistico,12 Dive IT,AV,Avenida,Moscu,2,38660.0,38001,Adeje,Fañabe Ht Isabel Family,,,,,-16.73403325,28.09126251,2017-03-29T14:22:23.642000,2017-03-29T14:22:23.642000
vivienda vacacional,13- 5 VV,CL,Calle,San Francisco,5,38002.0,38038,Santa Cruz de Tenerife,Ed Santander Pl 13 Vd 5,,,605310720.0,,-16.24919592,28.4671656,2016-05-09T12:45:15,2016-11-28T12:49:50
vivienda vacacional,13- 6 VV,CL,Calle,San Francisco,5,38002.0,38038,Santa Cruz de Tenerife,Ed Santander Pl 13 Vd 6,,,605310720.0,,-16.24919857,28.46713809,2016-05-09T12:45:15,2016-11-28T12:49:50
vivienda vacacional,1902 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 19 Vd 02,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55822715,28.41150554,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2 Dcha VV,CL,Calle,El Cabo,2,38618.0,38017,Granadilla de Abona,Los Abrigos Pl 2 Vd Dr,,,922793027.0,,-16.59117596,28.02967094,2016-05-09T12:45:15,2015-08-04T12:00:30
vivienda vacacional,2 La Bodega VV,CL,Calle,Alcalde Juan Martin,2,38480.0,38010,Buenavista del Norte,Bajada Campo Futbol,,mesaelena@gmail.com,922129006.0,,-16.84511808,28.36953855,2017-09-21T12:45:56.519000,2018-02-08T12:36:45.855000
informador turistico,2020 Travel Consultants IT,AV,Avenida,España,9,38660.0,38001,Adeje,San Eugenio CC La Niña Lc 09,,,,,-16.73328544,28.08162581,2017-03-29T09:54:26.216000,2017-03-29T09:54:26.216000
vivienda vacacional,2101 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 01,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55809657,28.411193,2016-05-09T12:45:15,2018-06-08T11:01:49.970000
vivienda vacacional,2106 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 06,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55812226,28.41124572,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2107 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 07,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55806874,28.41113464,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2108 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 08,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55804734,28.41107439,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2109 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 09,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55816721,28.41135304,2016-05-09T12:45:15,2018-06-08T11:01:49.970000
vivienda vacacional,2111 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 11,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.5582143,28.4114547,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2112 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 12,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55818647,28.41140575,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2119 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 21 Vd 19,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.5581458,28.41129655,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2202 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 22 Vd 02,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55802379,28.41101791,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2402 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 02,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55815437,28.41144529,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2404 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 04,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.5581929,28.41154696,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2405 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 05,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55817363,28.41149236,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2406 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 06,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55812012,28.41139446,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2407 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 07,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55809871,28.41134362,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2408 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 08,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55807517,28.41129467,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2418 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 18,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55809871,28.41102921,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2421 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 21,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55799811,28.41097084,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2422 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 24 Vd 22,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.5580666,28.41097837,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,25 De Abril VV,AV,Avenida,25 de Abril,15,38430.0,38022,Icod de los Vinos,Pl 2 Vd Iz,,,666060351.0,,-16.71848509,28.3694205,2016-05-09T12:45:15,2015-08-04T13:09:51
vivienda vacacional,2703 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 27 Vd 03,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55803022,28.41118171,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2706D VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 27 Vd 06,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55800239,28.41112899,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2710 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 27 Vd 10,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55798312,28.41107816,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2713 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 27 Vd 13,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55795744,28.41102544,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,2717 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 27 Vd 17,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.5580559,28.41124196,2016-05-09T12:45:15,2018-06-08T10:23:24
