actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
mascotas,+kotas,CL,Calle,El Drago,44,38205,38023,La Laguna,Bo Nuevo,,,,,-16.30944032,28.47761713,2016-05-09T12:45:15.374000,2015-08-27T08:05:31.032000
optica ortopedia audicion,+Vision,CL,Calle,Bethencourt Alfonso,18,38002,38038,Santa Cruz de Tenerife,,www.masvision.es,castillo@grupomasvision.es,922277198.0,922277198,-16.24949509,28.46754013,2016-05-09T12:45:15.374000,2017-12-01T12:24:16.861000
bazar multitienda estanco,24H Bajamar,CR,Carretera,General TF 13 Punta Hidalgo,126,38250,38023,La Laguna,Bajamar,,,922546628.0,,-16.34469285,28.55370281,2016-05-09T12:45:15.374000,2015-08-04T13:52:36.282000
moda complementos,3D Store,CL,Calle,Iriarte,12,38004,38038,Santa Cruz de Tenerife,,,nieves30mr@gmail.com,922194526.0,0,-16.25704395,28.46700421,2016-05-09T12:45:15,2018-01-17T09:12:25.398000
articulos deportivos,40-15 Sport,CL,Calle,Mendez Nuñez,80,38001,38038,Santa Cruz de Tenerife,,,4015sport@gmail.com,922888071.0,0,-16.25192151,28.47231621,2016-05-09T12:45:15.374000,2018-01-18T13:10:04.696000
moda complementos,4Elements,CL,Calle,Alvaro Rodriguez Lopez,16,38005,38038,Santa Cruz de Tenerife,Lc 08,,,637019764.0,922595940,-16.25805519,28.45797274,2016-08-04T13:56:05,2016-08-05T09:41:36
moda complementos,4X4 Woman,CL,Calle,Obispo Perez Caceres,10,38509,38011,Candelaria,,www.facebook.com/pages/4x4-Woman-Candelaria,,922956632.0,0,-16.36979772,28.3527033,2016-05-09T12:45:15.374000,2016-02-18T10:32:45.109000
informatica telecomunicaciones,54 Informatica,PS,Paseo,Agustin Herrera Gonzalez,0,38683,38040,Santiago del Teide,Puerto de Santiago,,,922860511.0,,-16.84140462,28.23774626,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
bisuteria complementos,5mentario,CR,Carretera,España TF 217,35,38390,38039,Santa Úrsula,,,,922300677.0,,-16.48916372,28.42568343,2016-05-09T12:45:15.374000,2016-08-16T09:04:55.350000
bisuteria complementos,5mentario,CL,Calle,Jose Hernandez Alfonso,8,38003,38038,Santa Cruz de Tenerife,,www.5mentario.es,,647862359.0,,-16.252989,28.46235199,2016-05-09T12:45:15.374000,2016-08-16T09:04:55.350000
moda complementos,5th Avenue,AV,Avenida,De Cristobal Colon,4,38400,38028,Puerto de la Cruz,Hotal Vallemar,5th.es,,922370956.0,,-16.54459038,28.4177215,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
informatica telecomunicaciones,A & M Computer Ciberlocutorio,CL,Calle,Maria del Carmen Garcia,34,38631,38006,Arona,Las Galletas Ed Lidia,,am.locutorio@gmail.com,922783998.0,922783998,-16.65772146,28.00795068,2016-05-09T12:45:15.374000,2015-08-04T12:36:55.984000
moda complementos,A Burbuleta,CR,Carretera,General TF 652 Las Galletas,82,38632,38035,San Miguel,Guargacho,,,922784148.0,0,-16.63569249,28.0357536,2016-05-09T12:45:15.374000,2017-10-02T14:11:56.428000
electricidad electronica,A2Z Electronic,CL,Calle,Quintana,22,38400,38028,Puerto de la Cruz,,,,,,-16.5481777,28.41722948,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
libreria papeleria discoteca,A5 Papeleria,CL,Calle,Perdomo,3,38400,38028,Puerto de la Cruz,Aptos Playa,,a5papelerias@gmail.com,922093128.0,,-16.55114616,28.41746536,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
bazar multitienda estanco,Aasraa,CL,Calle,Castillo,37,38003,38038,Santa Cruz de Tenerife,Pl B Lc 6-7,www.aasraa.es,info@aasraa-electronics.com,922291313.0,922291313,-16.25167126,28.46692967,2016-05-09T12:45:15.374000,2022-04-22T13:23:10.741000
moda complementos,Abaco Complementos,CL,Calle,San Agustin,55,38430,38022,Icod de los Vinos,,,irenegl77@hotmail.com,922812915.0,,-16.716527,28.36849199,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
informatica telecomunicaciones,Abentel Telecomunicaciones,CR,Carretera,General TF 28 Sur,81,38107,38038,Santa Cruz de Tenerife,Pg El Molino,www.abentel.com,jlinares@abentel.abengoa.com,922626168.0,922614710,-16.31832744,28.42307711,2016-05-09T12:45:15.374000,2016-06-16T09:21:53.322000
informatica telecomunicaciones,Abertis Telecom,CL,Calle,Jesus Hernandez Guzman,23,38110,38038,Santa Cruz de Tenerife,Z I Mercatenerife,www.abertistelecom.com,alberto.lopez@abertistelecom.com,922039126.0,922039107,-16.2830542,28.43826598,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
electricidad electronica,Abm Rexelu,CL,Calle,Fernando Arozena Quinterio,4,38009,38038,Santa Cruz de Tenerife,P I Costa Sur Buenos Aires,www.abm.rexel.es.es,tenerife@abm.es,922205436.0,922226731,-16.26909307,28.4542466,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
moda complementos,Aborigen,CL,Calle,Obispo Perez Caceres,26,38509,38011,Candelaria,,,,922504866.0,922504866,-16.36997024,28.35320357,2016-05-09T12:45:15.374000,2015-08-04T10:53:32.454000
