actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
actividades deporte ocio,+Q Baile,CR,Carretera,General TF 194 La Cuesta Taco,99,38108,38023,La Laguna,Z I Las Torres De Taco,,,680283526.0,,-16.29351614,28.45164335,2017-02-15T11:40:07,2018-01-17T08:05:33.210000
actividades deporte ocio,360 Padel Indoor,CM,Camino,Los Pescadores,9,38108,38023,La Laguna,Z I Las Torres De Taco Nave 1A,,,822174792.0,,-16.29578344,28.45226057,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
actividades deporte ocio,Abama Golf,CR,Carretera,General TF 6237 Playa San Juan,0,38687,38019,Guía de Isora,Abama Los Maguenes,abamagolf.com,info@abamagolf.com,922126300.0,922865444.0,-16.79373117,28.16914887,2017-06-21T12:31:26.262000,2017-06-21T12:31:26.262000
actividades deporte ocio,ABC Pilates Canarias,CL,Calle,Los Sueños,50,38006,38038,Santa Cruz de Tenerife,,www.abcpilatescanarias.es,,922270645.0,,-16.26269322,28.47002972,2016-05-09T12:45:15.374000,2016-05-24T15:02:09.952000
actividades deporte ocio,Abotis Center,CM,Camino,La Piterita,1,38320,38023,La Laguna,Pg Camino La Piterita,,,609504677.0,922467222.0,-16.290088,28.47577062,2016-05-09T12:45:15,2018-03-21T07:52:52.224000
actividades deporte ocio,Academia de Baile +QueBaile,AV,Avenida,Las Palmeras,10,38205,38023,La Laguna,Finca España Lc 1,www.masqbaile.es,info@masqbaile.es,922649821.0,,-16.29936923,28.47290424,2016-05-09T12:45:15.374000,2015-08-31T10:15:28.573000
actividades deporte ocio,Academia de Baile Huella Latina,CR,Carretera,General TF 152 Norte,47,38650,38043,Tacoronte,La Estacion Ed Acosta Lc 12,www.facebook.com/Huella-Latina-1397467890472766/,,676413878.0,,-16.41451535,28.47732563,2018-05-14T10:14:47.244000,2018-05-14T10:14:47.244000
actividades deporte ocio,Activate Sports Club,CL,Calle,Roques del Salmor,7,38679,38001,Adeje,Fañabe Cj Deportivo Activate Sport Club,www.tenerifeactivate.com,info@tenerifeactivate.com,822070037.0,,-16.74077201,28.09665641,2016-10-03T10:35:39.959000,2017-08-04T09:32:26.600000
actividades deporte ocio,Actividades Nauticas Tenerife,LG,"Lugar, zona",Muelle Playa San Juan,1,38687,38019,Guía de Isora,Playa San Juan,www.velatenerife.es,info@velatenerife.es,678673047.0,,-16.81585158,28.17992858,2016-05-09T12:45:15.374000,2023-11-13T13:12:44.653000
actividades deporte ocio,Actividades subacuaticas Maresia,CL,Calle,Tabaibarril,17,38580,38005,Arico,San Miguel de Tajao,,,,,-16.4708897,28.10968468,2018-05-15T10:30:01.840000,2018-05-15T10:30:01.840000
