actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
tasca,¡¡¡Ñoo Que Rico!!!,AV,Avenida,Maritima,9,38509,38011,Candelaria,Las Caletillas Ed La Guaira,,,,,-16.36841411,28.35915748,2017-01-18T13:42:36,2018-11-14T13:36:42.983000
cafeteria,¿Hoy Que Hay?,CL,Calle,Jose de Bethencourt y Castro Molina,11,38300,38026,La Orotava,El Mayorazgo Esq Cl Pilar Monetevrde,,,922988834.0,,-16.52697617,28.39332622,2017-03-10T13:48:42.350000,2017-03-10T13:50:32.007000
restaurante,+ Que Carne,AV,Avenida,Francisco La Roche,43,38001,38038,Santa Cruz de Tenerife,,,,922280465.0,,-16.24697545,28.4743401,2017-08-02T10:04:12.407000,2019-03-08T08:03:03.633000
bar cafeteria,+QTapas Low Cost Lounge,CL,Calle,Alcalde Alonso Suarez Melian,2,38201,38023,La Laguna,,www.facebook.com/masqtapaslalaguna,masquetapaslalaguna@hotmail.com,669967591.0,922107177.0,-16.3166953,28.48945946,2016-06-01T08:42:53.188000,2019-01-29T12:04:51.330000
bar cafeteria,+Que Bar,CL,Calle,Juan Alvarez Garcia,5,38003,38038,Santa Cruz de Tenerife,,,,,,-16.25228438,28.46201405,2016-05-09T12:45:15.374000,2015-08-04T10:22:19.650000
bar cafeteria,+Que Churros,CL,Calle,Presidente Adolfo Suarez,3,38320,38023,La Laguna,La Cuesta Bo Obispado,,,0.0,,-16.29025169,28.46868018,2016-05-09T12:45:15.374000,2018-01-15T13:17:02.055000
restaurante,+Que Noche Cafe,AV,Avenida,La Salle,22,38005,38038,Santa Cruz de Tenerife,Ed Gran Via Lc 06-07,,,677850839.0,,-16.25685413,28.46146289,2016-10-13T13:55:07.099000,2016-10-13T13:55:07.099000
bar cafeteria,+Que Perritos,CR,Carretera,General TF 28 Sur,8,38107,38038,Santa Cruz de Tenerife,Tincer,,,922103908.0,,-16.30054101,28.44469376,2016-05-31T10:32:10,2017-10-24T13:55:08.328000
bar cafeteria,0S3 CeroStress,AV,Avenida,Adeje 300,10,38678,38001,Adeje,Py Paraiso Club Paraiso Lc 19,,,637011781.0,,-16.77493421,28.12188252,2017-05-17T12:21:30.613000,2017-05-17T12:21:30.613000
bar,1-X-2,CL,Calle,La Entrada,1,38680,38019,Guía de Isora,,,,,,-16.78145696,28.2120967,2017-06-08T09:15:21.775000,2017-06-08T09:15:21.775000
bar cafeteria,10 Años,CL,Calle,Guia,49,38379,38025,La Matanza,Guia,,,,,-16.46472276,28.44286808,2016-05-09T12:45:15.374000,2015-09-07T12:39:40.533000
bar cafeteria,100  Montaditos,AV,Avenida,Chayofita,18,38650,38006,Arona,Los Cristianos CC Pq Santiago VI Lc 4A,,,609440342.0,,-16.72053159,28.05796304,2016-06-07T13:52:21,2017-08-17T13:08:35.734000
cafeteria,100 % Natural,CL,Calle,Roque de Jama,2,38650,38006,Arona,Los Cristianos Ed Garajonay II Lc 05,,,922791502.0,,-16.71735168,28.0562077,2017-08-25T09:48:12,2017-11-10T10:01:42.144000
cafeteria,100 Aromas,AV,Avenida,Los Sabandeños,3,38650,38006,Arona,Los Cristianos Ed Marte Lc 04,,,922793545.0,,-16.71467843,28.05427069,2017-08-23T10:20:33.553000,2017-08-23T10:20:33.553000
bar cafeteria,100 Montaditos,AV,Avenida,Manuel Hermoso Rojas,16,38005,38038,Santa Cruz de Tenerife,CC Meridiano Pt 2 N 03,www.spain.100montad¡tos.com,egestoso@canrestric.com,620401707.0,,-16.25881351,28.45670697,2016-05-09T12:45:15.374000,2016-02-19T10:03:00.238000
bar cafeteria,100 Montaditos,AV,Avenida,Siam,3,38660,38001,Adeje,CC Siam Mall Lc 1 37,,,,,-16.72128358,28.06860145,2016-05-09T12:45:15.374000,2016-10-06T09:07:05.526000
bar cafeteria,100 Montaditos,CL,Calle,Obispo Rey Redondo,16,38201,38023,La Laguna,,www.facebook.com/cienmontaditos.lalaguna/info,,922253098.0,,-16.315859,28.48825699,2016-05-09T12:45:15.374000,2015-11-11T14:50:02.124000
restaurante,100 Montaditos,PZ,"Plaza, plazoleta",Patrona de Canarias,14,38509,38011,Candelaria,,,,0.0,,-16.37013215,28.35221514,2016-05-09T12:45:15.374000,2016-02-17T13:14:03.727000
bar cafeteria,100 Montaditos,AU,"Autopista, autovía",TF 5 Norte,0,38312,38026,La Orotava,CC La Villa Lc 052A,www.spain.100montaditos.com,rogmacansl@gmail.com,922320247.0,,-16.54650182,28.39632299,2016-05-09T12:45:15.374000,2017-10-23T10:39:57.743000
cafeteria,100 Montaditos,PZ,"Plaza, plazoleta",Candelaria,10,38002,38038,Santa Cruz de Tenerife,,,,922278048.0,,-16.24853783,28.46704666,2016-05-09T12:45:15.374000,2017-12-01T12:24:16.861000
bar cafeteria,100 Montaditos,CL,Calle,Francisco Garcia Feo,1,38612,38017,Granadilla de Abona,El Medano Ed Plaza Lc Iz,,,922788116.0,,-16.5379309,28.0446769,2016-07-05T14:02:46.994000,2016-07-05T14:02:46.994000
restaurante,100 Montaditos,CL,Calle,San Juan,3,38400,38028,Puerto de la Cruz,,,,,,-16.55005739,28.41722199,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
