
Balance de criminalidad. 2023 - 4º Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2023 - 4º Trimestre por geografía, tipología  penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

;III. TOTAL INFRACCIONES PENALES;
;enero-diciembre 2023;
-Municipio de Adeje;4963.0;
-Municipio de Arona;6651.0;
-Municipio de Candelaria;824.0;
-Municipio de Granadilla de Abona;2858.0;
-Municipio de Guía de Isora;1179.0;
-Municipio de Güímar;730.0;
-Municipio de Icod de los Vinos;447.0;
-Municipio de Orotava (La);1359.0;
-Municipio de Puerto de la Cruz;2262.0;
-Municipio de Realejos (Los);925.0;
-Municipio de San Cristóbal de La Laguna;6551.0;
-Municipio de San Miguel de Abona;1629.0;
-Municipio de Santa Cruz de Tenerife;9352.0;
-Municipio de Tacoronte;679.0;
Notas:
NIPO 126-20-005-0                                            
                                             
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, Policías Autonómicas y Policías Locales que proporcionan datos  al Sistema Estadístico de Criminalidad. En agresiones sexuales con  penetración se computan agresiones sexuales con penetración y abusos  sexuales con penetración.       
                                                                       
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                               
                                      
 (***) Datos de 2023 pendientes de consolidar.
Fuente: Ministerio del Interior
