TIME_PERIOD	TERRITORIO	MEDIDAS	ALOJAMIENTO_TURISTICO_CATEGORIA	OBS_VALUE	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION_CODE	ESTADO_OBSERVACION	ESTADO_OBSERVACION_CODE
2023	Adeje	Establecimientos	Total	90			
2022	Adeje	Establecimientos	Total	84			
2021	Adeje	Establecimientos	Total	57			
2020	Adeje	Establecimientos	Total	49			
2019	Adeje	Establecimientos	Total	100			
2018	Adeje	Establecimientos	Total	99			
2017	Adeje	Establecimientos	Total	105			
2023	Arona	Establecimientos	Total	79			
2022	Arona	Establecimientos	Total	77			
2021	Arona	Establecimientos	Total	48			
2020	Arona	Establecimientos	Total	45			
2019	Arona	Establecimientos	Total	103			
2018	Arona	Establecimientos	Total	104			
2017	Arona	Establecimientos	Total	112			
2023	Granadilla de Abona	Establecimientos	Total	7			
2022	Granadilla de Abona	Establecimientos	Total	5			
2021	Granadilla de Abona	Establecimientos	Total	4			
2020	Granadilla de Abona	Establecimientos	Total	4			
2019	Granadilla de Abona	Establecimientos	Total	13			
2018	Granadilla de Abona	Establecimientos	Total	13			
2017	Granadilla de Abona	Establecimientos	Total	17			
2023	Guía de Isora	Establecimientos	Total	4			
2022	Guía de Isora	Establecimientos	Total	5			
2021	Guía de Isora	Establecimientos	Total	4			
2020	Guía de Isora	Establecimientos	Total	3			
2019	Guía de Isora	Establecimientos	Total	6			
2018	Guía de Isora	Establecimientos	Total	6			
2017	Guía de Isora	Establecimientos	Total	8			
2023	San Cristóbal de La Laguna	Establecimientos	Total	5			
2022	San Cristóbal de La Laguna	Establecimientos	Total	5			
2021	San Cristóbal de La Laguna	Establecimientos	Total	3			
2020	San Cristóbal de La Laguna	Establecimientos	Total	4			
2019	San Cristóbal de La Laguna	Establecimientos	Total	9			
2018	San Cristóbal de La Laguna	Establecimientos	Total	9			
2017	San Cristóbal de La Laguna	Establecimientos	Total	11			
2023	Puerto de la Cruz	Establecimientos	Total	62			
2022	Puerto de la Cruz	Establecimientos	Total	59			
2021	Puerto de la Cruz	Establecimientos	Total	37			
2020	Puerto de la Cruz	Establecimientos	Total	33			
2019	Puerto de la Cruz	Establecimientos	Total	78			
2018	Puerto de la Cruz	Establecimientos	Total	79			
2017	Puerto de la Cruz	Establecimientos	Total	83			
2023	San Miguel de Abona	Establecimientos	Total	12			
2022	San Miguel de Abona	Establecimientos	Total	11			
2021	San Miguel de Abona	Establecimientos	Total	7			
2020	San Miguel de Abona	Establecimientos	Total	6			
2019	San Miguel de Abona	Establecimientos	Total	15			
2018	San Miguel de Abona	Establecimientos	Total	15			
2017	San Miguel de Abona	Establecimientos	Total	16			
2023	Santa Cruz de Tenerife	Establecimientos	Total	19			
2022	Santa Cruz de Tenerife	Establecimientos	Total	17			
2021	Santa Cruz de Tenerife	Establecimientos	Total	12			
2020	Santa Cruz de Tenerife	Establecimientos	Total	11			
2019	Santa Cruz de Tenerife	Establecimientos	Total	23			
2018	Santa Cruz de Tenerife	Establecimientos	Total	24			
2017	Santa Cruz de Tenerife	Establecimientos	Total	25			
2023	Santiago del Teide	Establecimientos	Total	14			
2022	Santiago del Teide	Establecimientos	Total	14			
2021	Santiago del Teide	Establecimientos	Total	11			
2020	Santiago del Teide	Establecimientos	Total	9			
2019	Santiago del Teide	Establecimientos	Total	19			
2018	Santiago del Teide	Establecimientos	Total	19			
2017	Santiago del Teide	Establecimientos	Total	21			
